% Langmuir characteristic curve

% U (Volt)	I (A)
60.000000	-4.206086E-7
60.009998	-3.571622E-7
60.014999	-3.402820E-7
60.025002	-4.122267E-7
60.029999	-3.275927E-7
60.040001	-4.291069E-7
60.044998	-5.263137E-7
60.055000	-5.009351E-7
60.060001	-3.317837E-7
60.070000	-4.544854E-7
60.075001	-4.882459E-7
60.084999	-4.713656E-7
60.090000	-4.459871E-7
60.099998	-3.910391E-7
60.105000	-2.895249E-7
60.115002	-3.910391E-7
60.119999	-1.965091E-7
60.130001	-3.698515E-7
60.134998	-3.910391E-7
60.145000	-4.037283E-7
60.150002	-3.022142E-7
60.160000	-6.278278E-7
60.165001	-3.656605E-7
60.174999	-3.529713E-7
60.180000	-3.360910E-7
60.189999	-2.853340E-7
60.195000	-4.544854E-7
60.205002	-3.656605E-7
60.209999	-3.995374E-7
60.220001	-3.698515E-7
60.224998	-1.626322E-7
60.235001	-3.741588E-7
60.240002	-3.741588E-7
60.250000	-4.122267E-7
60.255001	-3.656605E-7
60.264999	-3.656605E-7
60.270000	-2.937159E-7
60.279999	-6.109476E-7
60.285000	-3.107125E-7
60.294998	-4.840549E-7
60.299999	-2.980232E-7
60.310001	-3.190944E-7
60.314999	-3.360910E-7
60.325001	-2.726447E-7
60.330002	-2.599554E-7
60.340000	-3.783498E-7
60.345001	-3.064051E-7
60.355000	-2.980232E-7
60.360001	-3.614696E-7
60.369999	-3.995374E-7
60.375000	-3.360910E-7
60.384998	-5.009351E-7
60.389999	-3.360910E-7
60.400002	-1.922017E-7
60.404999	-3.275927E-7
60.415001	-3.107125E-7
60.419998	-4.840549E-7
60.430000	-2.429588E-7
60.435001	-2.726447E-7
60.445000	-4.291069E-7
60.450001	-2.937159E-7
60.459999	-3.868481E-7
60.465000	-2.345769E-7
60.474998	-3.402820E-7
60.480000	-2.175802E-7
60.490002	-3.698515E-7
60.494999	-4.967442E-7
60.505001	-4.079193E-7
60.509998	-3.275927E-7
60.520000	-3.275927E-7
60.525002	-3.571622E-7
60.535000	-3.064051E-7
60.540001	-4.628673E-7
60.549999	-3.698515E-7
60.555000	-2.683373E-7
60.564999	-2.895249E-7
60.570000	-3.064051E-7
60.580002	-3.149034E-7
60.584999	-3.234018E-7
60.595001	-4.544854E-7
60.599998	-4.459871E-7
60.610001	-5.348120E-7
60.615002	-3.444729E-7
60.625000	-3.064051E-7
60.630001	-3.107125E-7
60.639999	-3.868481E-7
60.645000	-3.783498E-7
60.654999	-4.501780E-7
60.660000	-2.556480E-7
60.669998	-2.387678E-7
60.674999	-3.656605E-7
60.685001	-3.698515E-7
60.689999	-4.247995E-7
60.700001	-5.052425E-7
60.705002	-4.501780E-7
60.715000	-4.332978E-7
60.720001	-2.260786E-7
60.730000	-3.656605E-7
60.735001	-5.009351E-7
60.744999	-3.275927E-7
60.750000	-3.360910E-7
60.759998	-3.107125E-7
60.764999	-3.529713E-7
60.775002	-2.007000E-7
60.779999	-4.544854E-7
60.790001	-4.713656E-7
60.794998	-2.007000E-7
60.805000	-1.753215E-7
60.810001	-3.107125E-7
60.820000	-5.263137E-7
60.825001	-3.783498E-7
60.834999	-3.741588E-7
60.840000	-3.614696E-7
60.849998	-3.402820E-7
60.855000	-3.529713E-7
60.865002	-3.149034E-7
60.869999	-3.275927E-7
60.880001	-4.628673E-7
60.884998	-1.287553E-7
60.895000	-3.698515E-7
60.900002	-4.713656E-7
60.910000	-4.247995E-7
60.915001	-3.360910E-7
60.924999	-5.686888E-7
60.930000	-3.952300E-7
60.939999	-2.599554E-7
60.945000	-3.275927E-7
60.955002	-3.910391E-7
60.959999	-3.487803E-7
60.970001	-1.965091E-7
60.974998	-3.234018E-7
60.985001	-2.302695E-7
60.990002	-3.317837E-7
61.000000	-4.164176E-7
61.005001	-2.810266E-7
61.014999	-2.937159E-7
61.020000	-2.980232E-7
61.029999	-2.853340E-7
61.035000	-2.175802E-7
61.044998	-4.247995E-7
61.049999	-4.079193E-7
61.060001	-3.741588E-7
61.064999	-3.317837E-7
61.075001	-3.529713E-7
61.080002	-1.753215E-7
61.090000	-2.895249E-7
61.095001	-2.768356E-7
61.105000	-4.798640E-7
61.110001	-3.022142E-7
61.119999	-2.641464E-7
61.125000	-2.641464E-7
61.134998	-5.052425E-7
61.139999	-3.444729E-7
61.150002	-3.402820E-7
61.154999	-2.937159E-7
61.165001	-3.952300E-7
61.169998	-4.164176E-7
61.180000	-4.374888E-7
61.185001	-4.247995E-7
61.195000	-3.741588E-7
61.200001	-2.937159E-7
61.209999	-4.840549E-7
61.215000	-3.022142E-7
61.224998	-1.753215E-7
61.230000	-4.417961E-7
61.240002	-3.487803E-7
61.244999	-3.275927E-7
61.255001	-3.910391E-7
61.259998	-6.870832E-7
61.270000	-5.052425E-7
61.275002	-3.571622E-7
61.285000	-5.009351E-7
61.290001	-3.317837E-7
61.299999	-3.234018E-7
61.305000	-3.234018E-7
61.314999	-4.798640E-7
61.320000	-3.571622E-7
61.330002	-2.683373E-7
61.334999	-3.234018E-7
61.345001	-3.275927E-7
61.349998	-3.317837E-7
61.360001	-3.275927E-7
61.365002	-2.091983E-7
61.375000	-4.882459E-7
61.380001	-2.007000E-7
61.389999	-3.741588E-7
61.395000	-5.009351E-7
61.404999	-4.459871E-7
61.410000	-3.444729E-7
61.419998	-4.671747E-7
61.424999	-4.713656E-7
61.435001	-2.810266E-7
61.439999	-2.810266E-7
61.450001	-3.995374E-7
61.455002	-3.529713E-7
61.465000	-1.499429E-7
61.470001	-4.755566E-7
61.480000	-3.952300E-7
61.485001	-3.529713E-7
61.494999	-3.614696E-7
61.500000	-3.529713E-7
61.509998	-3.275927E-7
61.514999	-4.079193E-7
61.525002	-2.007000E-7
61.529999	-3.741588E-7
61.540001	-3.825407E-7
61.544998	-1.626322E-7
61.555000	-3.402820E-7
61.560001	-3.444729E-7
61.570000	-2.599554E-7
61.575001	-3.149034E-7
61.584999	-4.671747E-7
61.590000	-4.628673E-7
61.599998	-3.614696E-7
61.605000	-3.529713E-7
61.615002	-3.825407E-7
61.619999	-3.529713E-7
61.630001	-2.980232E-7
61.634998	-3.952300E-7
61.645000	-4.628673E-7
61.650002	-5.094334E-7
61.660000	-3.952300E-7
61.665001	-3.149034E-7
61.674999	-3.234018E-7
61.680000	-1.457520E-7
61.689999	-4.332978E-7
61.695000	-2.853340E-7
61.705002	-3.064051E-7
61.709999	-4.332978E-7
61.720001	-6.067567E-7
61.724998	-3.868481E-7
61.735001	-3.698515E-7
61.740002	-4.206086E-7
61.750000	-6.658956E-7
61.755001	-3.571622E-7
61.764999	-3.487803E-7
61.770000	-3.149034E-7
61.779999	-3.402820E-7
61.785000	-1.414446E-7
61.794998	-2.472661E-7
61.799999	-4.037283E-7
61.810001	-3.360910E-7
61.814999	-2.895249E-7
61.825001	-3.656605E-7
61.830002	-3.064051E-7
61.840000	-4.247995E-7
61.845001	-4.544854E-7
61.855000	-3.868481E-7
61.860001	-3.360910E-7
61.869999	-2.937159E-7
61.875000	-3.234018E-7
61.884998	-4.671747E-7
61.889999	-4.417961E-7
61.900002	-3.275927E-7
61.904999	-2.514571E-7
61.915001	-2.726447E-7
61.919998	-3.064051E-7
61.930000	-4.586764E-7
61.935001	-2.810266E-7
61.945000	-4.755566E-7
61.950001	-2.260786E-7
61.959999	-3.402820E-7
61.965000	-3.275927E-7
61.974998	-3.571622E-7
61.980000	-4.925532E-7
61.990002	-3.487803E-7
61.994999	-3.275927E-7
62.005001	-3.571622E-7
62.009998	-4.374888E-7
62.020000	-3.190944E-7
62.025002	-3.149034E-7
62.035000	-2.895249E-7
62.040001	-1.330627E-7
62.049999	-2.768356E-7
62.055000	-2.556480E-7
62.064999	-3.529713E-7
62.070000	-4.459871E-7
62.080002	-4.628673E-7
62.084999	-4.079193E-7
62.095001	-3.275927E-7
62.099998	-3.149034E-7
62.110001	-1.838198E-7
62.115002	-2.726447E-7
62.125000	-1.414446E-7
62.130001	-3.444729E-7
62.139999	-1.414446E-7
62.145000	-3.064051E-7
62.154999	-1.838198E-7
62.160000	-3.317837E-7
62.169998	-4.206086E-7
62.174999	-3.234018E-7
62.185001	-3.910391E-7
62.189999	-3.571622E-7
62.200001	-3.149034E-7
62.205002	-4.206086E-7
62.215000	-3.741588E-7
62.220001	-3.022142E-7
62.230000	-2.853340E-7
62.235001	-3.317837E-7
62.244999	-3.275927E-7
62.250000	-4.247995E-7
62.259998	-8.649658E-8
62.264999	-4.122267E-7
62.275002	-4.713656E-7
62.279999	-4.882459E-7
62.290001	-4.798640E-7
62.294998	-3.995374E-7
62.305000	-3.571622E-7
62.310001	-5.052425E-7
62.320000	-1.795124E-7
62.325001	-3.614696E-7
62.334999	-3.571622E-7
62.340000	-2.175802E-7
62.349998	-3.275927E-7
62.355000	-3.360910E-7
62.365002	-3.741588E-7
62.369999	-3.190944E-7
62.380001	-2.726447E-7
62.384998	-3.952300E-7
62.395000	-2.768356E-7
62.400002	-3.064051E-7
62.410000	-4.374888E-7
62.415001	-4.374888E-7
62.424999	-4.206086E-7
62.430000	-2.599554E-7
62.439999	-2.937159E-7
62.445000	-2.514571E-7
62.455002	-3.698515E-7
62.459999	-3.360910E-7
62.470001	-2.768356E-7
62.474998	-3.022142E-7
62.485001	-2.726447E-7
62.490002	-3.360910E-7
62.500000	-3.910391E-7
62.505001	-3.234018E-7
62.514999	-3.234018E-7
62.520000	-3.317837E-7
62.529999	-3.698515E-7
62.535000	-2.683373E-7
62.544998	-3.064051E-7
62.549999	-2.768356E-7
62.560001	-4.840549E-7
62.564999	-4.628673E-7
62.575001	-4.247995E-7
62.580002	-3.317837E-7
62.590000	-2.007000E-7
62.595001	-3.064051E-7
62.605000	-3.529713E-7
62.610001	-2.853340E-7
62.619999	-3.107125E-7
62.625000	-3.910391E-7
62.634998	-3.529713E-7
62.639999	-3.064051E-7
62.650002	-5.094334E-7
62.654999	-3.656605E-7
62.665001	-2.133893E-7
62.669998	-4.332978E-7
62.680000	-3.529713E-7
62.685001	-2.007000E-7
62.695000	-2.345769E-7
