% Langmuir characteristic curve

% U (Volt)	I (A)
61.695000	-3.783498E-7
61.705002	-2.514571E-7
61.709999	-1.033768E-7
61.720001	-2.429588E-7
61.724998	-2.768356E-7
61.735001	-3.232853E-7
61.740002	-3.105961E-7
61.750000	-3.825407E-7
61.755001	-3.571622E-7
61.764999	-2.683373E-7
61.770000	-1.795124E-7
61.779999	-3.698515E-7
61.785000	-4.247995E-7
61.794998	-3.402820E-7
61.799999	-2.599554E-7
61.810001	-2.133893E-7
61.814999	-2.556480E-7
61.825001	-2.979068E-7
61.830002	-2.937159E-7
61.840000	-2.683373E-7
61.845001	-3.613532E-7
61.855000	-1.584413E-7
61.860001	-2.979068E-7
61.869999	-3.149034E-7
61.875000	-3.064051E-7
61.884998	-3.825407E-7
61.889999	-3.740424E-7
61.900002	-1.965091E-7
61.904999	-2.853340E-7
61.915001	-2.641464E-7
61.919998	-3.064051E-7
61.930000	-5.728798E-7
61.935001	-1.160661E-7
61.945000	-4.037283E-7
61.950001	-2.429588E-7
61.959999	-3.317837E-7
61.965000	-2.895249E-7
61.974998	-2.810266E-7
61.980000	-3.105961E-7
61.990002	-3.105961E-7
61.994999	-4.671747E-7
62.005001	-2.726447E-7
62.009998	-2.260786E-7
62.020000	-1.160661E-7
62.025002	-3.317837E-7
62.035000	-3.064051E-7
62.040001	-2.429588E-7
62.049999	-1.965091E-7
62.055000	-2.175802E-7
62.064999	-3.444729E-7
62.070000	-4.037283E-7
62.080002	-3.149034E-7
62.084999	-2.091983E-7
62.095001	-2.895249E-7
62.099998	-3.444729E-7
62.110001	-3.149034E-7
62.115002	-3.105961E-7
62.125000	-3.994210E-7
62.130001	-2.429588E-7
62.139999	-2.175802E-7
62.145000	-3.529713E-7
62.154999	-2.302695E-7
62.160000	-3.740424E-7
62.169998	-3.656605E-7
62.174999	-1.287553E-7
62.185001	-2.810266E-7
62.189999	-3.022142E-7
62.200001	-4.247995E-7
62.205002	-3.444729E-7
62.215000	-2.937159E-7
62.220001	-3.529713E-7
62.230000	-3.190944E-7
62.235001	-2.979068E-7
62.244999	-2.853340E-7
62.250000	-2.260786E-7
62.259998	-3.571622E-7
62.264999	-2.937159E-7
62.275002	-3.656605E-7
62.279999	-2.556480E-7
62.290001	-2.599554E-7
62.294998	-2.556480E-7
62.305000	-4.291069E-7
62.310001	-2.048910E-7
62.320000	-4.628673E-7
62.325001	-4.882459E-7
62.334999	-4.628673E-7
62.340000	-2.853340E-7
62.349998	-3.232853E-7
62.355000	-2.726447E-7
62.365002	-2.218876E-7
62.369999	-2.895249E-7
62.380001	-1.965091E-7
62.384998	-2.726447E-7
62.395000	-1.076842E-7
62.400002	-3.444729E-7
62.410000	-2.387678E-7
62.415001	-4.291069E-7
62.424999	-3.275927E-7
62.430000	-3.910391E-7
62.439999	-4.164176E-7
62.445000	-4.671747E-7
62.455002	-1.541339E-7
62.459999	-3.064051E-7
62.470001	-3.190944E-7
62.474998	-3.275927E-7
62.485001	-3.867317E-7
62.490002	-2.599554E-7
62.500000	-2.810266E-7
62.505001	-2.895249E-7
62.514999	-2.260786E-7
62.520000	-3.783498E-7
62.529999	-2.599554E-7
62.535000	-4.374888E-7
62.544998	-3.613532E-7
62.549999	-4.374888E-7
62.560001	-1.499429E-7
62.564999	-2.895249E-7
62.575001	-2.979068E-7
62.580002	-2.345769E-7
62.590000	-2.007000E-7
62.595001	-3.656605E-7
62.605000	-2.302695E-7
62.610001	-2.810266E-7
62.619999	-2.218876E-7
62.625000	-1.287553E-7
62.634998	-3.190944E-7
62.639999	-3.275927E-7
62.650002	-3.064051E-7
62.654999	-2.768356E-7
62.665001	-1.795124E-7
62.669998	-2.937159E-7
62.680000	-2.810266E-7
62.685001	-2.895249E-7
62.695000	-2.218876E-7
62.700001	-2.726447E-7
62.709999	-2.133893E-7
62.715000	-4.121102E-7
62.724998	-2.472661E-7
62.730000	-2.007000E-7
62.740002	-2.810266E-7
62.744999	-2.260786E-7
62.755001	-2.472661E-7
62.759998	-3.359746E-7
62.770000	-3.825407E-7
62.775002	-1.584413E-7
62.785000	-3.910391E-7
62.790001	-2.937159E-7
62.799999	-3.486639E-7
62.805000	-2.895249E-7
62.814999	-2.726447E-7
62.820000	-4.121102E-7
62.830002	-3.994210E-7
62.834999	-3.698515E-7
62.845001	-4.501780E-7
62.849998	-4.121102E-7
62.860001	-3.994210E-7
62.865002	-2.810266E-7
62.875000	-3.529713E-7
62.880001	-2.979068E-7
62.889999	-2.853340E-7
62.895000	-3.529713E-7
62.904999	-2.937159E-7
62.910000	-3.064051E-7
62.919998	-3.064051E-7
62.924999	-5.263137E-7
62.935001	-2.429588E-7
62.939999	-3.190944E-7
62.950001	-2.429588E-7
62.955002	-2.133893E-7
62.965000	-3.064051E-7
62.970001	-2.853340E-7
62.980000	-2.937159E-7
62.985001	-4.586764E-7
62.994999	-3.317837E-7
63.000000	-3.486639E-7
63.009998	-3.105961E-7
63.014999	-4.586764E-7
63.025002	-3.402820E-7
63.029999	-3.402820E-7
63.040001	-2.895249E-7
63.044998	-2.641464E-7
63.055000	-1.965091E-7
63.060001	-2.726447E-7
63.070000	-2.218876E-7
63.075001	-3.022142E-7
63.084999	-1.965091E-7
63.090000	-3.105961E-7
63.099998	-3.022142E-7
63.105000	-3.698515E-7
63.115002	-3.232853E-7
63.119999	-3.656605E-7
63.130001	-3.190944E-7
63.134998	-3.571622E-7
63.145000	-2.895249E-7
63.150002	-3.105961E-7
63.160000	-2.429588E-7
63.165001	-2.937159E-7
63.174999	-2.218876E-7
63.180000	-3.064051E-7
63.189999	-2.514571E-7
63.195000	-3.698515E-7
63.205002	-3.149034E-7
63.209999	-5.136244E-7
63.220001	-3.359746E-7
63.224998	-4.332978E-7
63.235001	-3.275927E-7
63.240002	-1.711305E-7
63.250000	-2.302695E-7
63.255001	-1.245644E-7
63.264999	-2.937159E-7
63.270000	-1.880107E-7
63.279999	-2.175802E-7
63.285000	-2.726447E-7
63.294998	-3.149034E-7
63.299999	-2.472661E-7
63.310001	-3.529713E-7
63.314999	-2.937159E-7
63.325001	-2.387678E-7
63.330002	-3.275927E-7
63.340000	-4.501780E-7
63.345001	-3.022142E-7
63.355000	-2.768356E-7
63.360001	-3.064051E-7
63.369999	-3.402820E-7
63.375000	-1.118751E-7
63.384998	-3.022142E-7
63.389999	-2.387678E-7
63.400002	-2.175802E-7
63.404999	-3.105961E-7
63.415001	-9.918585E-8
63.419998	-1.922017E-7
63.430000	-2.979068E-7
63.435001	-1.245644E-7
63.445000	-3.571622E-7
