% Langmuir characteristic curve

% U (Volt)	I (A)
60.000000	-4.291069E-7
60.009998	-3.275927E-7
60.014999	-3.529713E-7
60.025002	-4.461035E-7
60.029999	-3.826572E-7
60.040001	-3.741588E-7
60.044998	-3.234018E-7
60.055000	-2.515735E-7
60.060001	-2.684537E-7
60.070000	-2.726447E-7
60.075001	-3.910391E-7
60.084999	-3.022142E-7
60.090000	-2.684537E-7
60.099998	-2.218876E-7
60.105000	-4.544854E-7
60.115002	-3.487803E-7
60.119999	-5.010515E-7
60.130001	-2.980232E-7
60.134998	-4.587928E-7
60.145000	-5.179318E-7
60.150002	-2.642628E-7
60.160000	-3.614696E-7
60.165001	-3.402820E-7
60.174999	-2.176967E-7
60.180000	-5.010515E-7
60.189999	-2.980232E-7
60.195000	-2.261950E-7
60.205002	-3.234018E-7
60.209999	-2.430752E-7
60.220001	-3.783498E-7
60.224998	-3.360910E-7
60.235001	-2.050074E-7
60.240002	-3.022142E-7
60.250000	-3.529713E-7
60.255001	-3.741588E-7
60.264999	-3.149034E-7
60.270000	-2.980232E-7
60.279999	-3.995374E-7
60.285000	-2.642628E-7
60.294998	-1.203734E-7
60.299999	-2.515735E-7
60.310001	-2.218876E-7
60.314999	-2.938323E-7
60.325001	-1.161825E-7
60.330002	-2.345769E-7
60.340000	-3.868481E-7
60.345001	-4.461035E-7
60.355000	-3.402820E-7
60.360001	-3.192108E-7
60.369999	-2.811430E-7
60.375000	-3.360910E-7
60.384998	-1.542503E-7
60.389999	-3.107125E-7
60.400002	-2.684537E-7
60.404999	-2.472661E-7
60.415001	-2.811430E-7
60.419998	-2.472661E-7
60.430000	-4.037283E-7
60.435001	-2.896413E-7
60.445000	-3.022142E-7
60.450001	-2.515735E-7
60.459999	-2.726447E-7
60.465000	-1.711305E-7
60.474998	-3.572786E-7
60.480000	-4.502945E-7
60.490002	-4.461035E-7
60.494999	-3.149034E-7
60.505001	-3.529713E-7
60.509998	-4.334142E-7
60.520000	-3.022142E-7
60.525002	-2.896413E-7
60.535000	-4.080357E-7
60.540001	-3.614696E-7
60.549999	-2.430752E-7
60.555000	-3.022142E-7
60.564999	-3.107125E-7
60.570000	-4.461035E-7
60.580002	-3.826572E-7
60.584999	-3.529713E-7
60.595001	-3.149034E-7
60.599998	-2.769521E-7
60.610001	-4.207250E-7
60.615002	-3.572786E-7
60.625000	-2.472661E-7
60.630001	-2.896413E-7
60.639999	-3.741588E-7
60.645000	-1.034932E-7
60.654999	-2.769521E-7
60.660000	-3.741588E-7
60.669998	-3.402820E-7
60.674999	-1.796288E-7
60.685001	-3.741588E-7
60.689999	-3.360910E-7
60.700001	-3.614696E-7
60.705002	-1.669396E-7
60.715000	-3.699679E-7
60.720001	-4.798640E-7
60.730000	-1.415610E-7
60.735001	-4.037283E-7
60.744999	-2.726447E-7
60.750000	-1.965091E-7
60.759998	-2.684537E-7
60.764999	-1.119915E-7
60.775002	-3.487803E-7
60.779999	-3.065215E-7
60.790001	-1.500593E-7
60.794998	-4.629837E-7
60.805000	-4.798640E-7
60.810001	-4.417961E-7
60.820000	-2.980232E-7
60.825001	-2.980232E-7
60.834999	-3.910391E-7
60.840000	-2.515735E-7
60.849998	-2.938323E-7
60.855000	-2.430752E-7
60.865002	-2.938323E-7
60.869999	-1.161825E-7
60.880001	-2.684537E-7
60.884998	-1.923181E-7
60.895000	-2.388842E-7
60.900002	-3.022142E-7
60.910000	-2.896413E-7
60.915001	-3.360910E-7
60.924999	-3.656605E-7
60.930000	-3.656605E-7
60.939999	-2.853340E-7
60.945000	-3.192108E-7
60.955002	-1.415610E-7
60.959999	-4.291069E-7
60.970001	-2.769521E-7
60.974998	-3.868481E-7
60.985001	-3.065215E-7
60.990002	-2.261950E-7
61.000000	-1.923181E-7
61.005001	-4.080357E-7
61.014999	-3.995374E-7
61.020000	-2.811430E-7
61.029999	-4.207250E-7
61.035000	-4.417961E-7
61.044998	-4.629837E-7
61.049999	-3.487803E-7
61.060001	-2.599554E-7
61.064999	-2.853340E-7
61.075001	-2.472661E-7
61.080002	-2.811430E-7
61.090000	-9.930227E-8
61.095001	-2.726447E-7
61.105000	-2.599554E-7
61.110001	-2.557645E-7
61.119999	-4.207250E-7
61.125000	-3.868481E-7
61.134998	-2.472661E-7
61.139999	-3.234018E-7
61.150002	-2.938323E-7
61.154999	-4.587928E-7
61.165001	-3.192108E-7
61.169998	-3.107125E-7
61.180000	-2.726447E-7
61.185001	-2.980232E-7
61.195000	-2.980232E-7
61.200001	-2.938323E-7
61.209999	-2.599554E-7
61.215000	-2.218876E-7
61.224998	-3.149034E-7
61.230000	-2.853340E-7
61.240002	-2.261950E-7
61.244999	-3.192108E-7
61.255001	-1.711305E-7
61.259998	-3.149034E-7
61.270000	-3.699679E-7
61.275002	-3.065215E-7
61.285000	-4.080357E-7
61.290001	-3.487803E-7
61.299999	-4.249159E-7
61.305000	-1.288718E-7
61.314999	-2.176967E-7
61.320000	-2.008164E-7
61.330002	-2.135057E-7
61.334999	-2.050074E-7
61.345001	-4.122267E-7
61.349998	-3.275927E-7
61.360001	-2.769521E-7
61.365002	-3.402820E-7
61.375000	-3.022142E-7
61.380001	-4.587928E-7
61.389999	-1.584413E-7
61.395000	-2.684537E-7
61.404999	-2.938323E-7
61.410000	-3.402820E-7
61.419998	-2.261950E-7
61.424999	-2.938323E-7
