% Langmuir characteristic curve

% U (Volt)	I (A)
60.000000	-3.023306E-7
60.009998	-4.376052E-7
60.014999	-3.065215E-7
60.025002	-3.023306E-7
60.029999	-3.530877E-7
60.040001	-3.277091E-7
60.044998	-3.150199E-7
60.055000	-3.699679E-7
60.060001	-3.487803E-7
60.070000	-3.741588E-7
60.075001	-5.391194E-7
60.084999	-4.546018E-7
60.090000	-3.868481E-7
60.099998	-3.403984E-7
60.105000	-3.319001E-7
60.115002	-3.234018E-7
60.119999	-2.769521E-7
60.130001	-1.669396E-7
60.134998	-3.784662E-7
60.145000	-3.192108E-7
60.150002	-3.487803E-7
60.160000	-4.376052E-7
60.165001	-4.672911E-7
60.174999	-3.826572E-7
60.180000	-4.249159E-7
60.189999	-3.403984E-7
60.195000	-5.264301E-7
60.205002	-3.360910E-7
60.209999	-2.008164E-7
60.220001	-3.657769E-7
60.224998	-3.741588E-7
60.235001	-2.303859E-7
60.240002	-2.388842E-7
60.250000	-5.010515E-7
60.255001	-5.053589E-7
60.264999	-3.826572E-7
60.270000	-5.264301E-7
60.279999	-3.953464E-7
60.285000	-3.826572E-7
60.294998	-3.911555E-7
60.299999	-3.150199E-7
60.310001	-4.038448E-7
60.314999	-4.883623E-7
60.325001	-3.614696E-7
60.330002	-3.360910E-7
60.340000	-3.868481E-7
60.345001	-3.572786E-7
60.355000	-3.150199E-7
60.360001	-2.938323E-7
60.369999	-3.657769E-7
60.375000	-3.953464E-7
60.384998	-1.839362E-7
60.389999	-4.461035E-7
60.400002	-3.614696E-7
60.404999	-3.487803E-7
60.415001	-4.419126E-7
60.419998	-4.629837E-7
60.430000	-4.756730E-7
60.435001	-3.065215E-7
60.445000	-4.883623E-7
60.450001	-4.672911E-7
60.459999	-4.926696E-7
60.465000	-3.572786E-7
60.474998	-2.938323E-7
60.480000	-3.065215E-7
60.490002	-3.360910E-7
60.494999	-3.150199E-7
60.505001	-2.515735E-7
60.509998	-4.461035E-7
60.520000	-3.487803E-7
60.525002	-4.502945E-7
60.535000	-3.319001E-7
60.540001	-2.008164E-7
60.549999	-4.292233E-7
60.555000	-4.799804E-7
60.564999	-4.334142E-7
60.570000	-5.222391E-7
60.580002	-3.445894E-7
60.584999	-3.487803E-7
60.595001	-4.122267E-7
60.599998	-3.192108E-7
60.610001	-2.938323E-7
60.615002	-3.445894E-7
60.625000	-2.388842E-7
60.630001	-5.053589E-7
60.639999	-3.784662E-7
60.645000	-3.445894E-7
60.654999	-3.403984E-7
60.660000	-3.107125E-7
60.669998	-2.938323E-7
60.674999	-5.053589E-7
60.685001	-3.360910E-7
60.689999	-4.461035E-7
