241.000	0.390
231.000	0.371
221.000	0.364
211.000	0.368
201.000	0.362
191.000	0.354
181.000	0.346
171.000	0.352
161.000	0.351
151.000	0.351
141.000	0.353
131.000	0.356
121.000	0.362
111.000	0.383
101.000	0.393
91.000	0.422
81.000	0.481
71.000	0.595
61.000	0.718
51.000	0.960
41.000	1.325
31.000	1.732
21.000	2.185
11.000	2.627
1.000	3.066
-9.000	3.387
-19.000	3.586
-29.000	3.703
-39.000	3.555
-49.000	3.317
-59.000	2.848
-69.000	2.294
-79.000	1.750
-89.000	1.272
-99.000	0.930
-109.000	0.712
-119.000	0.579
-129.000	0.528
-139.000	0.488
-149.000	0.461
-159.000	0.419
-169.000	0.388
-179.000	0.381
-189.000	0.367
-199.000	0.354
-209.000	0.347
-219.000	0.331
-229.000	0.331
-239.000	0.338
-249.000	0.337
