10.000	0.466
20.000	0.465
30.000	0.466
40.000	0.463
50.000	0.461
60.000	0.460
70.000	0.459
80.000	0.462
90.000	0.462
100.000	0.460
110.000	0.460
120.000	0.456
130.000	0.461
140.000	0.462
150.000	0.460
160.000	0.470
170.000	0.464
180.000	0.464
190.000	0.461
200.000	0.461
210.000	0.463
220.000	0.461
230.000	0.457
240.000	0.458
250.000	0.458
260.000	0.457
270.000	0.463
280.000	0.462
290.000	0.457
300.000	0.457
310.000	0.460
320.000	0.464
330.000	0.464
340.000	0.455
350.000	0.453
360.000	0.456
370.000	0.455
380.000	0.457
390.000	0.452
400.000	0.452
410.000	0.452
420.000	0.459
430.000	0.468
440.000	0.462
450.000	0.457
460.000	0.456
470.000	0.461
480.000	0.461
490.000	0.463
500.000	0.461
510.000	0.465
520.000	0.460
530.000	0.456
540.000	0.462
550.000	0.460
560.000	0.463
570.000	0.460
580.000	0.460
590.000	0.456
600.000	0.453
610.000	0.454
620.000	0.461
630.000	0.464
640.000	0.462
650.000	0.464
660.000	0.461
670.000	0.462
680.000	0.461
690.000	0.466
700.000	0.468
710.000	0.472
720.000	0.466
730.000	0.469
740.000	0.467
750.000	0.466
760.000	0.463
770.000	0.462
780.000	0.459
790.000	0.458
800.000	0.464
810.000	0.466
820.000	0.471
830.000	0.474
840.000	0.468
850.000	0.467
860.000	0.467
870.000	0.465
880.000	0.471
890.000	0.469
900.000	0.470
910.000	0.471
920.000	0.468
930.000	0.469
940.000	0.467
950.000	0.466
960.000	0.463
970.000	0.466
980.000	0.463
990.000	0.463
1000.000	0.461
1010.000	0.459
1020.000	0.463
1030.000	0.462
1040.000	0.465
1050.000	0.468
1060.000	0.466
1070.000	0.467
1080.000	0.475
1090.000	0.475
1100.000	0.476
1110.000	0.474
1120.000	0.470
1130.000	0.472
1140.000	0.464
1150.000	0.463
1160.000	0.462
1170.000	0.463
1180.000	0.463
1190.000	0.470
1200.000	0.467
1210.000	0.469
1220.000	0.474
1230.000	0.470
1240.000	0.468
1250.000	0.469
1260.000	0.471
1270.000	0.466
1280.000	0.474
1290.000	0.470
1300.000	0.469
1310.000	0.463
1320.000	0.464
1330.000	0.467
1340.000	0.471
1350.000	0.466
1360.000	0.462
1370.000	0.464
1380.000	0.463
1390.000	0.462
1400.000	0.462
1410.000	0.458
1420.000	0.456
1430.000	0.458
1440.000	0.462
1450.000	0.463
1460.000	0.461
1470.000	0.471
1480.000	0.470
1490.000	0.467
1500.000	0.468
1510.000	0.466
1520.000	0.467
1530.000	0.462
1540.000	0.460
1550.000	0.466
1560.000	0.471
1570.000	0.471
1580.000	0.467
1590.000	0.472
1600.000	0.465
1610.000	0.474
1620.000	0.475
1630.000	0.473
