Mass [amu]	Ion Current [A]
33.97	-1.316429e-013
34.00	-1.275271e-013
34.03	-1.258714e-013
34.06	-1.276124e-013
34.09	-1.306494e-013
34.13	-1.327101e-013
34.16	-1.341974e-013
34.19	-1.361232e-013
34.22	-1.378974e-013
34.25	-1.390485e-013
34.28	-1.400365e-013
34.31	-1.407443e-013
34.34	-1.405278e-013
34.38	-1.400713e-013
34.41	-1.416884e-013
34.44	-1.460052e-013
34.47	-1.495994e-013
34.50	-1.483424e-013
34.53	-1.418108e-013
34.56	-1.331285e-013
34.59	-1.258114e-013
34.63	-1.217103e-013
34.66	-1.211954e-013
34.69	-1.235972e-013
34.72	-1.268935e-013
34.75	-1.283510e-013
34.78	-1.268505e-013
34.81	-1.243829e-013
34.84	-1.245054e-013
34.88	-1.286982e-013
34.91	-1.341260e-013
34.94	-1.358720e-013
34.97	-1.319943e-013
35.00	-1.260019e-013
35.03	-1.234348e-013
35.06	-1.265171e-013
35.09	-1.334594e-013
35.13	-1.414462e-013
35.16	-1.481796e-013
35.19	-1.511779e-013
35.22	-1.480589e-013
35.25	-1.393431e-013
35.28	-1.296155e-013
35.31	-1.241066e-013
35.34	-1.245446e-013
35.38	-1.290166e-013
35.41	-1.356962e-013
35.44	-1.442612e-013
35.47	-1.525743e-013
35.50	-1.562213e-013
35.53	-1.534141e-013
35.56	-1.466957e-013
35.59	-1.394278e-013
35.63	-1.338162e-013
35.66	-1.313096e-013
35.69	-1.324152e-013
35.72	-1.361739e-013
35.75	-1.401967e-013
35.78	-1.416223e-013
35.81	-1.393419e-013
35.84	-1.349840e-013
35.88	-1.307133e-013
35.91	-1.276142e-013
35.94	-1.261430e-013
35.97	-1.265784e-013
36.00	-1.295503e-013
36.03	-1.354300e-013
36.06	-1.419941e-013
36.09	-1.452102e-013
36.13	-1.438351e-013
36.16	-1.402999e-013
36.19	-1.369906e-013
36.22	-1.349415e-013
36.25	-1.348124e-013
36.28	-1.360028e-013
36.31	-1.364746e-013
36.34	-1.347625e-013
36.38	-1.310059e-013
36.41	-1.263933e-013
36.44	-1.219300e-013
36.47	-1.173740e-013
36.50	-1.125521e-013
36.53	-1.096009e-013
36.56	-1.110471e-013
36.59	-1.160749e-013
36.63	-1.216244e-013
36.66	-1.267569e-013
36.69	-1.330745e-013
36.72	-1.403540e-013
36.75	-1.454520e-013
36.78	-1.469705e-013
36.81	-1.466570e-013
36.84	-1.447041e-013
36.88	-1.390562e-013
36.91	-1.305346e-013
36.94	-1.236937e-013
36.97	-1.224729e-013
37.00	-1.265574e-013
37.03	-1.314852e-013
37.06	-1.330285e-013
37.09	-1.307013e-013
37.13	-1.268186e-013
37.16	-1.244774e-013
37.19	-1.258367e-013
37.22	-1.304137e-013
37.25	-1.356360e-013
37.28	-1.389303e-013
37.31	-1.391449e-013
37.34	-1.375232e-013
37.38	-1.366205e-013
37.41	-1.372231e-013
37.44	-1.382691e-013
37.47	-1.392062e-013
37.50	-1.401861e-013
37.53	-1.416213e-013
37.56	-1.440880e-013
37.59	-1.466472e-013
37.63	-1.465709e-013
37.66	-1.424998e-013
37.69	-1.366420e-013
37.72	-1.329755e-013
37.75	-1.333780e-013
37.78	-1.359218e-013
37.81	-1.374228e-013
37.84	-1.367987e-013
37.88	-1.350514e-013
37.91	-1.331144e-013
37.94	-1.309632e-013
37.97	-1.288788e-013
38.00	-1.288716e-013
38.03	-1.326229e-013
38.06	-1.383408e-013
38.09	-1.428637e-013
38.13	-1.454642e-013
38.16	-1.464360e-013
38.19	-1.450913e-013
38.22	-1.420406e-013
38.25	-1.398499e-013
38.28	-1.398976e-013
38.31	-1.408427e-013
38.34	-1.410300e-013
38.38	-1.412969e-013
38.41	-1.430091e-013
38.44	-1.442089e-013
38.47	-1.415220e-013
38.50	-1.350799e-013
38.53	-1.283764e-013
38.56	-1.246574e-013
38.59	-1.248111e-013
38.63	-1.272333e-013
38.66	-1.296655e-013
38.69	-1.309874e-013
38.72	-1.307948e-013
38.75	-1.286703e-013
38.78	-1.248056e-013
38.81	-1.206970e-013
38.84	-1.177697e-013
38.88	-1.156452e-013
38.91	-1.131780e-013
38.94	-1.108228e-013
38.97	-1.111653e-013
39.00	-1.154040e-013
39.03	-1.200389e-013
39.06	-1.211650e-013
39.09	-1.200638e-013
39.13	-1.198552e-013
39.16	-1.203194e-013
39.19	-1.203735e-013
39.22	-1.215039e-013
39.25	-1.251660e-013
39.28	-1.289196e-013
39.31	-1.283314e-013
39.34	-1.236262e-013
39.38	-1.207315e-013
39.41	-1.232562e-013
39.44	-1.273639e-013
39.47	-1.275265e-013
39.50	-1.236315e-013
39.53	-1.198333e-013
39.56	-1.193945e-013
39.59	-1.217249e-013
39.63	-1.233487e-013
39.66	-1.215421e-013
39.69	-1.161638e-013
39.72	-1.084971e-013
39.75	-9.954192e-014
39.78	-8.963582e-014
39.81	-8.042174e-014
39.84	-7.578693e-014
39.88	-7.816965e-014
39.91	-8.506737e-014
39.94	-9.123529e-014
39.97	-9.291106e-014
40.00	-8.969893e-014
40.03	-8.438545e-014
40.06	-8.055382e-014
40.09	-8.030641e-014
40.13	-8.462201e-014
40.16	-9.285579e-014
40.19	-1.016243e-013
40.22	-1.074334e-013
40.25	-1.095726e-013
40.28	-1.090490e-013
40.31	-1.069936e-013
40.34	-1.043502e-013
40.38	-1.016753e-013
40.41	-1.004580e-013
40.44	-1.033196e-013
40.47	-1.109084e-013
40.50	-1.206416e-013
40.53	-1.290394e-013
40.56	-1.343198e-013
40.59	-1.360716e-013
40.63	-1.327135e-013
40.66	-1.230311e-013
40.69	-1.108535e-013
40.72	-1.030833e-013
40.75	-1.027190e-013
40.78	-1.074379e-013
40.81	-1.136596e-013
40.84	-1.195658e-013
40.88	-1.247921e-013
40.91	-1.283583e-013
40.94	-1.289012e-013
40.97	-1.273889e-013
41.00	-1.264433e-013
41.03	-1.268006e-013
41.06	-1.275280e-013
41.09	-1.282332e-013
41.13	-1.287051e-013
41.16	-1.290791e-013
41.19	-1.306340e-013
41.22	-1.336305e-013
41.25	-1.364478e-013
41.28	-1.381575e-013
41.31	-1.390297e-013
41.34	-1.391623e-013
41.38	-1.387600e-013
41.41	-1.378309e-013
41.44	-1.355795e-013
41.47	-1.327535e-013
41.50	-1.325455e-013
41.53	-1.372600e-013
41.56	-1.455236e-013
41.59	-1.526217e-013
41.63	-1.543744e-013
41.66	-1.508917e-013
41.69	-1.445690e-013
41.72	-1.370866e-013
41.75	-1.305541e-013
41.78	-1.277053e-013
41.81	-1.297582e-013
41.84	-1.357432e-013
41.88	-1.428077e-013
41.91	-1.474107e-013
41.94	-1.476716e-013
41.97	-1.437553e-013
42.00	-1.370287e-013
42.03	-1.306637e-013
42.06	-1.284458e-013
42.09	-1.312834e-013
42.13	-1.368603e-013
42.16	-1.418099e-013
42.19	-1.427475e-013
42.22	-1.385845e-013
42.25	-1.327629e-013
42.28	-1.298873e-013
42.31	-1.314468e-013
42.34	-1.363363e-013
42.38	-1.427014e-013
42.41	-1.484599e-013
42.44	-1.511771e-013
42.47	-1.487372e-013
42.50	-1.420786e-013
42.53	-1.358460e-013
42.56	-1.335469e-013
42.59	-1.340863e-013
42.63	-1.341933e-013
42.66	-1.315929e-013
42.69	-1.265063e-013
42.72	-1.218211e-013
42.75	-1.202539e-013
42.78	-1.214319e-013
42.81	-1.229098e-013
42.84	-1.228318e-013
42.88	-1.216520e-013
42.91	-1.219296e-013
42.94	-1.258484e-013
42.97	-1.331328e-013
43.00	-1.411164e-013
43.03	-1.458559e-013
43.06	-1.442211e-013
43.09	-1.368034e-013
43.13	-1.287035e-013
43.16	-1.256791e-013
43.19	-1.284762e-013
43.22	-1.324677e-013
43.25	-1.336365e-013
43.28	-1.323387e-013
43.31	-1.307253e-013
43.34	-1.299061e-013
43.38	-1.300856e-013
43.41	-1.304735e-013
43.44	-1.293587e-013
43.47	-1.258949e-013
43.50	-1.201027e-013
43.53	-1.106050e-013
43.56	-9.382450e-014
43.59	-6.507516e-014
43.63	-2.125066e-014
43.66	3.593178e-014
43.69	1.002051e-013
43.72	1.641361e-013
43.75	2.214442e-013
43.78	2.684066e-013
43.81	3.040943e-013
43.84	3.282159e-013
43.88	3.401792e-013
43.91	3.410143e-013
43.94	3.350036e-013
43.97	3.288268e-013
44.00	3.269985e-013
44.03	3.270853e-013
44.06	3.229424e-013
44.09	3.128511e-013
44.13	2.997623e-013
44.16	2.844331e-013
44.19	2.635715e-013
44.22	2.352969e-013
44.25	2.038191e-013
44.28	1.771015e-013
44.31	1.597836e-013
44.34	1.494294e-013
44.38	1.394328e-013
44.41	1.242408e-013
44.44	1.018381e-013
44.47	7.177482e-014
44.50	3.309307e-014
44.53	-1.247486e-014
44.56	-5.743062e-014
44.59	-9.305492e-014
44.63	-1.157140e-013
44.66	-1.265495e-013
44.69	-1.282737e-013
44.72	-1.251903e-013
44.75	-1.230510e-013
44.78	-1.244994e-013
44.81	-1.267248e-013
44.84	-1.264190e-013
44.88	-1.241473e-013
44.91	-1.222160e-013
44.94	-1.212676e-013
44.97	-1.211384e-013
45.00	-1.229986e-013
45.03	-1.280564e-013
45.06	-1.351996e-013
45.09	-1.413403e-013
45.13	-1.436712e-013
45.16	-1.420488e-013
45.19	-1.388912e-013
45.22	-1.355569e-013
45.25	-1.310143e-013
45.28	-1.256961e-013
45.31	-1.231352e-013
45.34	-1.261118e-013
45.38	-1.338496e-013
45.41	-1.430154e-013
45.44	-1.497806e-013
45.47	-1.518010e-013
45.50	-1.490471e-013
45.53	-1.432847e-013
45.56	-1.377641e-013
45.59	-1.356913e-013
45.63	-1.372333e-013
45.66	-1.395228e-013
45.69	-1.401051e-013
45.72	-1.397916e-013
45.75	-1.413134e-013
45.78	-1.443828e-013
45.81	-1.451415e-013
45.84	-1.421426e-013
45.88	-1.385070e-013
45.91	-1.368470e-013
45.94	-1.367476e-013
45.97	-1.376620e-013
46.00	-1.395725e-013
46.03	-1.409464e-013
46.06	-1.399483e-013
46.09	-1.374475e-013
46.13	-1.361601e-013
46.16	-1.371310e-013
46.19	-1.387461e-013
46.22	-1.389983e-013
46.25	-1.373237e-013
46.28	-1.342598e-013
46.31	-1.312985e-013
46.34	-1.302858e-013
46.38	-1.310936e-013
46.41	-1.320944e-013
46.44	-1.329483e-013
46.47	-1.336732e-013
46.50	-1.330414e-013
46.53	-1.306315e-013
46.56	-1.281863e-013
46.59	-1.280118e-013
46.63	-1.303611e-013
46.66	-1.322956e-013
46.69	-1.311641e-013
46.72	-1.280865e-013
46.75	-1.249652e-013
46.78	-1.221633e-013
46.81	-1.213911e-013
46.84	-1.252551e-013
46.88	-1.330173e-013
46.91	-1.400015e-013
46.94	-1.419784e-013
46.97	-1.396618e-013
47.00	-1.374946e-013
47.03	-1.380475e-013
47.06	-1.396129e-013
47.09	-1.396372e-013
47.13	-1.382379e-013
47.16	-1.372727e-013
47.19	-1.372487e-013
47.22	-1.363976e-013
47.25	-1.335781e-013
47.28	-1.307886e-013
47.31	-1.304707e-013
47.34	-1.320707e-013
47.38	-1.332389e-013
47.41	-1.326170e-013
47.44	-1.307911e-013
47.47	-1.293428e-013
47.50	-1.287159e-013
47.53	-1.283476e-013
47.56	-1.294615e-013
47.59	-1.340938e-013
47.63	-1.413945e-013
47.66	-1.482341e-013
47.69	-1.519771e-013
47.72	-1.514421e-013
47.75	-1.470319e-013
47.78	-1.401263e-013
47.81	-1.329543e-013
47.84	-1.289870e-013
47.88	-1.298194e-013
47.91	-1.323098e-013
47.94	-1.323259e-013
47.97	-1.294609e-013
48.00	-1.263019e-013
48.03	-1.251568e-013
48.06	-1.265073e-013
48.09	-1.298170e-013
48.13	-1.341692e-013
48.16	-1.370278e-013
48.19	-1.352691e-013
48.22	-1.292950e-013
48.25	-1.231838e-013
48.28	-1.205975e-013
48.31	-1.228282e-013
48.34	-1.289667e-013
48.38	-1.361708e-013
48.41	-1.416495e-013
48.44	-1.440804e-013
48.47	-1.425530e-013
48.50	-1.377061e-013
48.53	-1.333833e-013
48.56	-1.328586e-013
48.59	-1.351540e-013
48.63	-1.375714e-013
48.66	-1.389271e-013
48.69	-1.391790e-013
48.72	-1.384026e-013
48.75	-1.366271e-013
48.78	-1.340090e-013
48.81	-1.312943e-013
48.84	-1.293816e-013
48.88	-1.284833e-013
48.91	-1.281459e-013
48.94	-1.274145e-013
48.97	-1.266644e-013
49.00	-1.294393e-013
49.03	-1.383526e-013
49.06	-1.499343e-013
49.09	-1.570146e-013
49.13	-1.547975e-013
49.16	-1.446291e-013
49.19	-1.336878e-013
49.22	-1.290112e-013
49.25	-1.310251e-013
49.28	-1.351433e-013
49.31	-1.379608e-013
49.34	-1.392814e-013
49.38	-1.406066e-013
49.41	-1.428896e-013
49.44	-1.449978e-013
49.47	-1.457303e-013
49.50	-1.461871e-013
49.53	-1.475002e-013
49.56	-1.482746e-013
49.59	-1.462010e-013
49.63	-1.408922e-013
49.66	-1.347833e-013
49.69	-1.307172e-013
49.72	-1.292393e-013
49.75	-1.304058e-013
49.78	-1.353767e-013
49.81	-1.432644e-013
49.84	-1.500282e-013
49.88	-1.521615e-013
49.91	-1.491296e-013
49.94	-1.432097e-013
49.97	-1.378848e-013
