Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:25:21

Start Time	23.01.2023 16:24:45
End Time	23.01.2023 16:25:11


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:24:45

Mass [amu]	Ion Current [A]
0,00	2,656340e-014
0,03	1,328110e-014
0,06	4,672804e-015
0,09	1,270803e-015
0,13	1,052268e-015
0,16	3,750072e-015
0,19	1,136779e-014
0,22	2,492109e-014
0,25	4,049398e-014
0,28	5,136883e-014
0,31	5,557685e-014
0,34	5,722530e-014
0,38	5,903994e-014
0,41	5,861553e-014
0,44	5,396999e-014
0,47	4,813563e-014
0,50	4,558374e-014
0,53	4,830235e-014
0,56	5,631944e-014
0,59	6,550124e-014
0,63	6,599144e-014
0,66	5,230990e-014
0,69	3,290405e-014
0,72	2,124321e-014
0,75	2,153090e-014
0,78	2,977995e-014
0,81	4,551279e-014
0,84	7,636801e-014
0,88	1,312307e-013
0,91	2,125516e-013
0,94	3,141288e-013
0,97	4,219337e-013
1,00	5,192787e-013
1,03	5,966043e-013
1,06	6,555922e-013
1,09	7,021569e-013
1,13	7,383361e-013
1,16	7,616423e-013
1,19	7,691289e-013
1,22	7,596665e-013
1,25	7,324810e-013
1,28	6,870154e-013
1,31	6,253855e-013
1,34	5,506579e-013
1,38	4,626083e-013
1,41	3,632644e-013
1,44	2,741357e-013
1,47	2,519922e-013
1,50	3,894016e-013
1,53	7,964940e-013
1,56	1,577628e-012
1,59	2,834785e-012
1,63	4,710586e-012
1,66	7,351420e-012
1,69	1,063122e-011
1,72	1,397503e-011
1,75	1,683333e-011
1,78	1,922386e-011
1,81	2,144101e-011
1,84	2,352403e-011
1,88	2,528512e-011
1,91	2,659270e-011
1,94	2,746367e-011
1,97	2,798848e-011
2,00	2,824495e-011
2,03	2,827192e-011
2,06	2,809840e-011
2,09	2,776688e-011
2,13	2,730596e-011
2,16	2,668857e-011
2,19	2,583631e-011
2,22	2,469161e-011
2,25	2,331616e-011
2,28	2,188316e-011
2,31	2,048890e-011
2,34	1,898780e-011
2,38	1,707737e-011
2,41	1,452408e-011
2,44	1,134892e-011
2,47	7,909402e-012
2,50	4,770475e-012
2,53	2,396125e-012
2,56	9,280810e-013
2,59	2,005363e-013
2,63	-8,300671e-014
2,66	-1,692188e-013
2,69	-1,905291e-013
2,72	-1,970447e-013
2,75	-2,006804e-013
2,78	-2,006793e-013
2,81	-1,964742e-013
2,84	-1,909399e-013
2,88	-1,875513e-013
2,91	-1,869653e-013
2,94	-1,874699e-013
2,97	-1,883194e-013
3,00	-1,897891e-013
3,03	-1,911417e-013
3,06	-1,913570e-013
3,09	-1,901363e-013
3,13	-1,875549e-013
3,16	-1,841063e-013
3,19	-1,773371e-013
3,22	-1,513578e-013
3,25	-5,664330e-014
3,28	2,284101e-013
3,31	9,506844e-013
3,34	2,504228e-012
3,38	5,322097e-012
3,41	9,581530e-012
3,44	1,493771e-011
3,47	2,065681e-011
3,50	2,605219e-011
3,53	3,073265e-011
3,56	3,456336e-011
3,59	3,757421e-011
3,63	3,988602e-011
3,66	4,163292e-011
3,69	4,292483e-011
3,72	4,386004e-011
3,75	4,452999e-011
3,78	4,499757e-011
3,81	4,529356e-011
3,84	4,544310e-011
3,88	4,548133e-011
3,91	4,544183e-011
3,94	4,534335e-011
3,97	4,518165e-011
4,00	4,491432e-011
4,03	4,446428e-011
4,06	4,375924e-011
4,09	4,275276e-011
4,13	4,140280e-011
4,16	3,968614e-011
4,19	3,770302e-011
4,22	3,573409e-011
4,25	3,403887e-011
4,28	3,255913e-011
4,31	3,093292e-011
4,34	2,876405e-011
4,38	2,577266e-011
4,41	2,181125e-011
4,44	1,698394e-011
4,47	1,181087e-011
4,50	7,110558e-012
4,53	3,572599e-012
4,56	1,405795e-012
4,59	3,471811e-013
4,63	-5,674617e-014
4,66	-1,749722e-013
4,69	-2,002642e-013
4,72	-2,016981e-013
4,75	-1,985249e-013
4,78	-1,968723e-013
4,81	-1,982539e-013
4,84	-2,011802e-013
4,88	-2,033679e-013
4,91	-2,033919e-013
4,94	-2,011364e-013
4,97	-1,977335e-013
5,00	-1,954379e-013
5,03	-1,961766e-013
5,06	-1,989224e-013
5,09	-2,004617e-013
5,13	-1,999063e-013
5,16	-2,000303e-013
5,19	-2,029958e-013
5,22	-2,070101e-013
5,25	-2,086234e-013
5,28	-2,067120e-013
5,31	-2,033569e-013
5,34	-2,013059e-013
5,38	-2,005099e-013
5,41	-1,984293e-013
5,44	-1,945717e-013
5,47	-1,916504e-013
5,50	-1,915062e-013
5,53	-1,928715e-013
5,56	-1,934244e-013
5,59	-1,929136e-013
5,63	-1,930882e-013
5,66	-1,944944e-013
5,69	-1,962374e-013
5,72	-1,983295e-013
5,75	-2,013962e-013
5,78	-2,054168e-013
5,81	-2,090666e-013
5,84	-2,096210e-013
5,88	-2,056396e-013
5,91	-1,991803e-013
5,94	-1,935267e-013
5,97	-1,909125e-013
6,00	-1,930695e-013
6,03	-1,999338e-013
6,06	-2,076016e-013
6,09	-2,116429e-013
6,13	-2,114548e-013
6,16	-2,087745e-013
6,19	-2,050128e-013
6,22	-2,017388e-013
6,25	-2,003430e-013
6,28	-2,003107e-013
6,31	-2,000725e-013
6,34	-2,000462e-013
6,38	-2,029018e-013
6,41	-2,086950e-013
6,44	-2,126479e-013
6,47	-2,109063e-013
6,50	-2,046583e-013
6,53	-1,973984e-013
6,56	-1,921667e-013
6,59	-1,903061e-013
6,63	-1,905460e-013
6,66	-1,909682e-013
6,69	-1,908041e-013
6,72	-1,897569e-013
6,75	-1,885158e-013
6,78	-1,891707e-013
6,81	-1,926072e-013
6,84	-1,967974e-013
6,88	-1,989648e-013
6,91	-1,985172e-013
6,94	-1,976531e-013
6,97	-1,989508e-013
7,00	-2,024108e-013
7,03	-2,060393e-013
7,06	-2,085458e-013
7,09	-2,101426e-013
7,13	-2,114515e-013
7,16	-2,120912e-013
7,19	-2,106842e-013
7,22	-2,071918e-013
7,25	-2,040415e-013
7,28	-2,032322e-013
7,31	-2,037473e-013
7,34	-2,030429e-013
7,38	-1,998111e-013
7,41	-1,950429e-013
7,44	-1,915301e-013
7,47	-1,921814e-013
7,50	-1,971863e-013
7,53	-2,027831e-013
7,56	-2,046811e-013
7,59	-2,023907e-013
7,63	-1,983099e-013
7,66	-1,942626e-013
7,69	-1,918049e-013
7,72	-1,926860e-013
7,75	-1,956535e-013
7,78	-1,965360e-013
7,81	-1,934001e-013
7,84	-1,886336e-013
7,88	-1,856741e-013
7,91	-1,858980e-013
7,94	-1,888540e-013
7,97	-1,936427e-013
8,00	-1,987550e-013
8,03	-2,020278e-013
8,06	-2,025425e-013
8,09	-2,012390e-013
8,13	-1,990100e-013
8,16	-1,963148e-013
8,19	-1,944672e-013
8,22	-1,948326e-013
8,25	-1,971582e-013
8,28	-2,000720e-013
8,31	-2,023139e-013
8,34	-2,030584e-013
8,38	-2,022873e-013
8,41	-2,006427e-013
8,44	-1,982097e-013
8,47	-1,943372e-013
8,50	-1,891962e-013
8,53	-1,847810e-013
8,56	-1,832638e-013
8,59	-1,846309e-013
8,63	-1,872092e-013
8,66	-1,899789e-013
8,69	-1,929107e-013
8,72	-1,958156e-013
8,75	-1,984564e-013
8,78	-2,010395e-013
8,81	-2,030444e-013
8,84	-2,023706e-013
8,88	-1,979917e-013
8,91	-1,926687e-013
8,94	-1,902806e-013
8,97	-1,920714e-013
9,00	-1,966264e-013
9,03	-2,009444e-013
9,06	-2,024354e-013
9,09	-2,018606e-013
9,13	-2,025845e-013
9,16	-2,061649e-013
9,19	-2,101682e-013
9,22	-2,105866e-013
9,25	-2,059507e-013
9,28	-1,989515e-013
9,31	-1,935975e-013
9,34	-1,912683e-013
9,38	-1,912563e-013
9,41	-1,944163e-013
9,44	-2,025394e-013
9,47	-2,132544e-013
9,50	-2,201529e-013
9,53	-2,194981e-013
9,56	-2,130999e-013
9,59	-2,051583e-013
9,63	-1,990966e-013
9,66	-1,963763e-013
9,69	-1,967009e-013
9,72	-1,988110e-013
9,75	-2,009644e-013
9,78	-2,016225e-013
9,81	-2,003094e-013
9,84	-1,976817e-013
9,88	-1,947906e-013
9,91	-1,919201e-013
9,94	-1,884372e-013
9,97	-1,845122e-013
10,00	-1,827117e-013
10,03	-1,865206e-013
10,06	-1,958549e-013
10,09	-2,058682e-013
10,13	-2,116943e-013
10,16	-2,118267e-013
10,19	-2,074953e-013
10,22	-2,024517e-013
10,25	-2,012109e-013
10,28	-2,045115e-013
10,31	-2,087752e-013
10,34	-2,104793e-013
10,38	-2,088277e-013
10,41	-2,044924e-013
10,44	-1,978492e-013
10,47	-1,899442e-013
10,50	-1,841200e-013
10,53	-1,836913e-013
10,56	-1,882539e-013
10,59	-1,941334e-013
10,63	-1,982131e-013
10,66	-2,006646e-013
10,69	-2,029244e-013
10,72	-2,042688e-013
10,75	-2,036705e-013
10,78	-2,027666e-013
10,81	-2,030611e-013
10,84	-2,032002e-013
10,88	-2,014053e-013
10,91	-1,980095e-013
10,94	-1,951508e-013
10,97	-1,949509e-013
11,00	-1,977873e-013
11,03	-2,019674e-013
11,06	-2,046655e-013
11,09	-2,041946e-013
11,13	-2,018084e-013
11,16	-1,999846e-013
11,19	-1,993134e-013
11,22	-1,985392e-013
11,25	-1,969037e-013
11,28	-1,949328e-013
11,31	-1,930142e-013
11,34	-1,899490e-013
11,38	-1,844867e-013
11,41	-1,770494e-013
11,44	-1,650737e-013
11,47	-1,367486e-013
11,50	-7,411078e-014
11,53	3,601725e-014
11,56	1,927178e-013
11,59	3,781462e-013
11,63	5,641630e-013
11,66	7,270745e-013
11,69	8,576903e-013
11,72	9,580861e-013
11,75	1,033481e-012
11,78	1,088526e-012
11,81	1,127337e-012
11,84	1,153496e-012
11,88	1,169129e-012
11,91	1,175607e-012
11,94	1,175200e-012
11,97	1,168926e-012
12,00	1,154178e-012
12,03	1,129894e-012
12,06	1,100717e-012
12,09	1,069987e-012
12,13	1,032846e-012
12,16	9,821821e-013
12,19	9,195641e-013
12,22	8,557447e-013
12,25	7,991387e-013
12,28	7,475614e-013
12,31	6,934132e-013
12,34	6,309126e-013
12,38	5,547284e-013
12,41	4,588275e-013
12,44	3,413257e-013
12,47	2,079260e-013
12,50	7,302061e-014
12,53	-4,185998e-014
12,56	-1,194533e-013
12,59	-1,590915e-013
12,63	-1,736224e-013
12,66	-1,769720e-013
12,69	-1,764523e-013
12,72	-1,727968e-013
12,75	-1,650235e-013
12,78	-1,532976e-013
12,81	-1,366264e-013
12,84	-1,119724e-013
12,88	-7,769715e-014
12,91	-3,663676e-014
12,94	4,921323e-015
12,97	4,185716e-014
13,00	7,243661e-014
13,03	9,605150e-014
13,06	1,129445e-013
13,09	1,254590e-013
13,13	1,355591e-013
13,16	1,432123e-013
13,19	1,488331e-013
13,22	1,538487e-013
13,25	1,578697e-013
13,28	1,576978e-013
13,31	1,512503e-013
13,34	1,426279e-013
13,38	1,417906e-013
13,41	1,630076e-013
13,44	2,366193e-013
13,47	4,354249e-013
13,50	8,846764e-013
13,53	1,711863e-012
13,56	2,945200e-012
13,59	4,454896e-012
13,63	6,015431e-012
13,66	7,431391e-012
13,69	8,607360e-012
13,72	9,539435e-012
13,75	1,028352e-011
13,78	1,089549e-011
13,81	1,133304e-011
13,84	1,149853e-011
13,88	1,146890e-011
13,91	1,146925e-011
13,94	1,155365e-011
13,97	1,157654e-011
14,00	1,141385e-011
14,03	1,108238e-011
14,06	1,072499e-011
14,09	1,043434e-011
14,13	1,013957e-011
14,16	9,732979e-012
14,19	9,208946e-012
14,22	8,659289e-012
14,25	8,178895e-012
14,28	7,779410e-012
14,31	7,389747e-012
14,34	6,921976e-012
14,38	6,315936e-012
14,41	5,535830e-012
14,44	4,564219e-012
14,47	3,434383e-012
14,50	2,271339e-012
14,53	1,262120e-012
14,56	5,506618e-013
14,59	1,575091e-013
14,63	-3,885024e-015
14,66	-4,656282e-014
14,69	-4,703581e-014
14,72	-3,798816e-014
14,75	-2,884073e-014
14,78	-2,187315e-014
14,81	-1,845696e-014
14,84	-1,902997e-014
14,88	-2,141520e-014
14,91	-2,276774e-014
14,94	-2,300259e-014
14,97	-2,389720e-014
15,00	-2,645798e-014
15,03	-3,059412e-014
15,06	-3,517642e-014
15,09	-3,822980e-014
15,13	-3,851045e-014
15,16	-3,769044e-014
15,19	-3,969229e-014
15,22	-4,616533e-014
15,25	-5,520926e-014
15,28	-6,475734e-014
15,31	-7,371106e-014
15,34	-8,048579e-014
15,38	-8,191269e-014
15,41	-6,937503e-014
15,44	-1,788753e-014
15,47	1,270197e-013
15,50	4,472641e-013
15,53	1,018409e-012
15,56	1,857029e-012
15,59	2,891698e-012
15,63	3,985809e-012
15,66	4,998121e-012
15,69	5,837776e-012
15,72	6,480829e-012
15,75	6,951509e-012
15,78	7,290317e-012
15,81	7,528962e-012
15,84	7,684404e-012
15,88	7,769636e-012
15,91	7,803856e-012
15,94	7,807074e-012
15,97	7,787411e-012
16,00	7,740095e-012
16,03	7,656793e-012
16,06	7,529670e-012
16,09	7,346618e-012
16,13	7,088994e-012
16,16	6,746363e-012
16,19	6,344384e-012
16,22	5,947313e-012
16,25	5,611548e-012
16,28	5,335587e-012
16,31	5,063517e-012
16,34	4,728426e-012
16,38	4,282282e-012
16,41	3,698270e-012
16,44	2,974929e-012
16,47	2,158992e-012
16,50	1,362007e-012
16,53	7,281457e-013
16,56	3,510262e-013
16,59	2,148508e-013
16,63	2,271073e-013
16,66	2,961784e-013
16,69	3,706221e-013
16,72	4,323745e-013
16,75	4,791954e-013
16,78	5,136226e-013
16,81	5,387813e-013
16,84	5,578606e-013
16,88	5,730395e-013
16,91	5,840679e-013
16,94	5,896484e-013
16,97	5,891353e-013
17,00	5,820383e-013
17,03	5,686219e-013
17,06	5,512126e-013
17,09	5,320944e-013
17,13	5,106745e-013
17,16	4,843874e-013
17,19	4,522208e-013
17,22	4,174727e-013
17,25	3,858133e-013
17,28	3,595240e-013
17,31	3,348764e-013
17,34	3,052457e-013
17,38	2,659709e-013
17,41	2,172595e-013
17,44	1,659480e-013
17,47	1,308058e-013
17,50	1,486244e-013
17,53	2,656067e-013
17,56	5,086180e-013
17,59	8,594815e-013
17,63	1,260165e-012
17,66	1,645416e-012
17,69	1,973878e-012
17,72	2,236053e-012
17,75	2,440774e-012
17,78	2,597591e-012
17,81	2,709466e-012
17,84	2,777427e-012
17,88	2,808000e-012
17,91	2,813344e-012
17,94	2,805667e-012
17,97	2,792061e-012
18,00	2,771688e-012
18,03	2,738080e-012
18,06	2,686242e-012
18,09	2,616251e-012
18,13	2,528599e-012
18,16	2,420096e-012
18,19	2,290188e-012
18,22	2,151413e-012
18,25	2,025646e-012
18,28	1,923286e-012
18,31	1,829921e-012
18,34	1,718450e-012
18,38	1,569633e-012
18,41	1,376379e-012
18,44	1,136303e-012
18,47	8,534974e-013
18,50	5,520628e-013
18,53	2,796264e-013
18,56	8,275560e-014
18,59	-2,578047e-014
18,63	-6,874029e-014
18,66	-7,725792e-014
18,69	-7,150481e-014
18,72	-6,148596e-014
18,75	-5,299836e-014
18,78	-4,960810e-014
18,81	-5,125020e-014
18,84	-5,319846e-014
18,88	-5,021457e-014
18,91	-4,277334e-014
18,94	-3,660204e-014
18,97	-3,576200e-014
19,00	-3,825530e-014
19,03	-3,947989e-014
19,06	-3,819739e-014
19,09	-3,699083e-014
19,13	-3,819878e-014
19,16	-4,100527e-014
19,19	-4,150400e-014
19,22	-3,504556e-014
19,25	-1,957978e-014
19,28	3,127767e-015
19,31	3,148390e-014
19,34	7,657064e-014
19,38	2,047428e-013
19,41	6,905026e-013
19,44	2,402198e-012
19,47	7,302982e-012
19,50	1,826801e-011
19,53	3,732956e-011
19,56	6,338016e-011
19,59	9,209538e-011
19,63	1,185971e-010
19,66	1,400503e-010
19,69	1,561119e-010
19,72	1,678228e-010
19,75	1,763861e-010
19,78	1,825971e-010
19,81	1,868583e-010
19,84	1,894045e-010
19,88	1,904834e-010
19,91	1,904069e-010
19,94	1,894874e-010
19,97	1,878884e-010
20,00	1,855269e-010
20,03	1,822040e-010
20,06	1,778030e-010
20,09	1,722049e-010
20,13	1,650896e-010
20,16	1,563292e-010
20,19	1,468699e-010
20,22	1,384809e-010
20,25	1,319430e-010
20,28	1,260595e-010
20,31	1,188643e-010
20,34	1,091968e-010
20,38	9,685162e-011
20,41	8,179271e-011
20,44	6,401969e-011
20,47	4,466732e-011
20,50	2,668705e-011
20,53	1,325171e-011
20,56	5,376909e-012
20,59	1,741787e-012
20,63	3,912695e-013
20,66	-2,308140e-014
20,69	-1,315961e-013
20,72	-1,578653e-013
20,75	-1,637047e-013
20,78	-1,637592e-013
20,81	-1,629509e-013
20,84	-1,630963e-013
20,88	-1,637233e-013
20,91	-1,632273e-013
20,94	-1,608746e-013
20,97	-1,590134e-013
21,00	-1,606423e-013
21,03	-1,650239e-013
21,06	-1,694079e-013
21,09	-1,730724e-013
21,13	-1,762305e-013
21,16	-1,777725e-013
21,19	-1,772845e-013
21,22	-1,765265e-013
21,25	-1,763570e-013
21,28	-1,751390e-013
21,31	-1,720936e-013
21,34	-1,694985e-013
21,38	-1,700134e-013
21,41	-1,733852e-013
21,44	-1,767986e-013
21,47	-1,769927e-013
21,50	-1,707118e-013
21,53	-1,544888e-013
21,56	-1,264611e-013
21,59	-8,893370e-014
21,63	-4,839657e-014
21,66	-1,266549e-014
21,69	1,335759e-014
21,72	2,998675e-014
21,75	4,125657e-014
21,78	5,161641e-014
21,81	6,246728e-014
21,84	7,144824e-014
21,88	7,653722e-014
21,91	7,898409e-014
21,94	8,001935e-014
21,97	7,846623e-014
22,00	7,391767e-014
22,03	6,834724e-014
22,06	6,350800e-014
22,09	5,884229e-014
22,13	5,187000e-014
22,16	4,071677e-014
22,19	2,630913e-014
22,22	1,078734e-014
22,25	-4,582546e-015
22,28	-1,828946e-014
22,31	-2,883730e-014
22,34	-3,757505e-014
22,38	-4,790097e-014
22,41	-6,117803e-014
22,44	-7,668746e-014
22,47	-9,489848e-014
22,50	-1,166436e-013
22,53	-1,395857e-013
22,56	-1,593613e-013
22,59	-1,732415e-013
22,63	-1,803013e-013
22,66	-1,808759e-013
22,69	-1,775525e-013
22,72	-1,740439e-013
22,75	-1,726581e-013
22,78	-1,735660e-013
22,81	-1,751123e-013
22,84	-1,753009e-013
22,88	-1,739757e-013
22,91	-1,722569e-013
22,94	-1,708686e-013
22,97	-1,702630e-013
23,00	-1,703914e-013
23,03	-1,706132e-013
23,06	-1,709705e-013
23,09	-1,719484e-013
23,13	-1,729971e-013
23,16	-1,723820e-013
23,19	-1,687955e-013
23,22	-1,637586e-013
23,25	-1,610311e-013
23,28	-1,620668e-013
23,31	-1,642924e-013
23,34	-1,651046e-013
23,38	-1,646760e-013
23,41	-1,645120e-013
23,44	-1,654468e-013
23,47	-1,661821e-013
23,50	-1,641654e-013
23,53	-1,594149e-013
23,56	-1,550679e-013
23,59	-1,539055e-013
23,63	-1,569110e-013
23,66	-1,628023e-013
23,69	-1,672165e-013
23,72	-1,663910e-013
23,75	-1,615766e-013
23,78	-1,565757e-013
23,81	-1,534648e-013
23,84	-1,528252e-013
23,88	-1,546694e-013
23,91	-1,574681e-013
23,94	-1,592439e-013
23,97	-1,602920e-013
24,00	-1,622107e-013
24,03	-1,647485e-013
24,06	-1,657504e-013
24,09	-1,643190e-013
24,13	-1,620246e-013
