Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:33:02

Start Time	23.01.2023 16:32:11
End Time	23.01.2023 16:32:48


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:32:11

Mass [amu]	Ion Current [A]
7,56	-2,223443e-013
7,59	-2,179231e-013
7,63	-2,150686e-013
7,66	-2,155850e-013
7,69	-2,165799e-013
7,72	-2,160582e-013
7,75	-2,155060e-013
7,78	-2,158801e-013
7,81	-2,157434e-013
7,84	-2,136243e-013
7,88	-2,099704e-013
7,91	-2,069598e-013
7,94	-2,061396e-013
7,97	-2,058700e-013
8,00	-2,035765e-013
8,03	-2,005775e-013
8,06	-2,007016e-013
8,09	-2,045214e-013
8,13	-2,087952e-013
8,16	-2,108225e-013
8,19	-2,109942e-013
8,22	-2,115820e-013
8,25	-2,141183e-013
8,28	-2,183663e-013
8,31	-2,230221e-013
8,34	-2,263626e-013
8,38	-2,267340e-013
8,41	-2,239567e-013
8,44	-2,202544e-013
8,47	-2,181958e-013
8,50	-2,181294e-013
8,53	-2,187509e-013
8,56	-2,194260e-013
8,59	-2,205406e-013
8,63	-2,215770e-013
8,66	-2,212888e-013
8,69	-2,201907e-013
8,72	-2,201723e-013
8,75	-2,215737e-013
8,78	-2,224106e-013
8,81	-2,204415e-013
8,84	-2,161747e-013
8,88	-2,137920e-013
8,91	-2,168124e-013
8,94	-2,236826e-013
8,97	-2,307153e-013
9,00	-2,362123e-013
9,03	-2,391069e-013
9,06	-2,377496e-013
9,09	-2,320229e-013
9,13	-2,248184e-013
9,16	-2,201275e-013
9,19	-2,190196e-013
9,22	-2,189067e-013
9,25	-2,179761e-013
9,28	-2,178672e-013
9,31	-2,206062e-013
9,34	-2,253580e-013
9,38	-2,292877e-013
9,41	-2,305003e-013
9,44	-2,297647e-013
9,47	-2,288468e-013
9,50	-2,274847e-013
9,53	-2,244763e-013
9,56	-2,205606e-013
9,59	-2,168203e-013
9,63	-2,128739e-013
9,66	-2,092680e-013
9,69	-2,083133e-013
9,72	-2,110205e-013
9,75	-2,156715e-013
9,78	-2,200923e-013
9,81	-2,239225e-013
9,84	-2,277131e-013
9,88	-2,308504e-013
9,91	-2,320237e-013
9,94	-2,304874e-013
9,97	-2,263375e-013
10,00	-2,215815e-013
10,03	-2,195486e-013
10,06	-2,208552e-013
10,09	-2,227167e-013
10,13	-2,236224e-013
10,16	-2,249570e-013
10,19	-2,282460e-013
10,22	-2,334355e-013
10,25	-2,382952e-013
10,28	-2,399392e-013
10,31	-2,386030e-013
10,34	-2,372295e-013
10,38	-2,370046e-013
10,41	-2,366338e-013
10,44	-2,350000e-013
10,47	-2,318201e-013
10,50	-2,276810e-013
10,53	-2,248400e-013
10,56	-2,259339e-013
10,59	-2,307754e-013
10,63	-2,355979e-013
10,66	-2,367330e-013
10,69	-2,340150e-013
10,72	-2,298605e-013
10,75	-2,261923e-013
10,78	-2,227347e-013
10,81	-2,185492e-013
10,84	-2,150148e-013
10,88	-2,151392e-013
10,91	-2,190493e-013
10,94	-2,232711e-013
10,97	-2,257351e-013
11,00	-2,274292e-013
11,03	-2,285881e-013
11,06	-2,278651e-013
11,09	-2,248534e-013
11,13	-2,208622e-013
11,16	-2,180969e-013
11,19	-2,177558e-013
11,22	-2,188560e-013
11,25	-2,202410e-013
11,28	-2,222755e-013
11,31	-2,250642e-013
11,34	-2,266440e-013
11,38	-2,246908e-013
11,41	-2,193588e-013
11,44	-2,123419e-013
11,47	-2,021750e-013
11,50	-1,820460e-013
11,53	-1,447195e-013
11,56	-9,028449e-014
11,59	-2,698652e-014
11,63	3,583681e-014
11,66	9,259501e-014
11,69	1,406168e-013
11,72	1,785617e-013
11,75	2,056273e-013
11,78	2,219444e-013
11,81	2,294047e-013
11,84	2,309458e-013
11,88	2,296104e-013
11,91	2,282331e-013
11,94	2,286411e-013
11,97	2,311313e-013
12,00	2,353213e-013
12,03	2,397400e-013
12,06	2,403102e-013
12,09	2,326296e-013
12,13	2,156044e-013
12,16	1,910544e-013
12,19	1,623023e-013
12,22	1,343913e-013
12,25	1,122068e-013
12,28	9,603382e-014
12,31	8,073562e-014
12,34	6,054526e-014
12,38	3,274872e-014
12,41	-3,478396e-015
12,44	-4,775919e-014
12,47	-9,634784e-014
12,50	-1,424657e-013
12,53	-1,797337e-013
12,56	-2,041586e-013
12,59	-2,149843e-013
12,63	-2,151051e-013
12,66	-2,093893e-013
12,69	-2,029924e-013
12,72	-2,003563e-013
12,75	-2,026468e-013
12,78	-2,064735e-013
12,81	-2,070384e-013
12,84	-2,020514e-013
12,88	-1,923131e-013
12,91	-1,803915e-013
12,94	-1,696084e-013
12,97	-1,628195e-013
13,00	-1,608422e-013
13,03	-1,620735e-013
13,06	-1,639584e-013
13,09	-1,646170e-013
13,13	-1,633154e-013
13,16	-1,603151e-013
13,19	-1,563890e-013
13,22	-1,522253e-013
13,25	-1,482301e-013
13,28	-1,437774e-013
13,31	-1,353728e-013
13,34	-1,149342e-013
13,38	-6,287335e-014
13,41	8,911308e-014
13,44	5,661126e-013
13,47	1,924641e-012
13,50	5,113415e-012
13,53	1,107326e-011
13,56	1,989518e-011
13,59	3,038429e-011
13,63	4,073699e-011
13,66	4,964870e-011
13,69	5,671750e-011
13,72	6,210837e-011
13,75	6,613035e-011
13,78	6,904326e-011
13,81	7,103340e-011
13,84	7,224719e-011
13,88	7,283214e-011
13,91	7,296289e-011
13,94	7,281484e-011
13,97	7,247319e-011
14,00	7,186915e-011
14,03	7,084361e-011
14,06	6,927041e-011
14,09	6,708178e-011
14,13	6,420087e-011
14,16	6,060162e-011
14,19	5,658844e-011
14,22	5,285433e-011
14,25	4,991997e-011
14,28	4,756351e-011
14,31	4,504775e-011
14,34	4,176938e-011
14,38	3,749513e-011
14,41	3,216590e-011
14,44	2,580604e-011
14,47	1,878262e-011
14,50	1,202159e-011
14,53	6,617326e-012
14,56	3,107450e-012
14,59	1,265101e-012
14,63	4,939266e-013
14,66	2,497314e-013
14,69	2,023105e-013
14,72	2,086772e-013
