Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:24:19

Start Time	23.01.2023 16:23:41
End Time	23.01.2023 16:24:08


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:23:41

Mass [amu]	Ion Current [A]
0,00	-2,877903e-014
0,03	-1,301825e-014
0,06	-4,291755e-015
0,09	-1,090167e-015
0,13	-7,590941e-016
0,16	-2,746811e-015
0,19	-8,954745e-015
0,22	-2,149715e-014
0,25	-3,875106e-014
0,28	-5,450454e-014
0,31	-6,359092e-014
0,34	-6,697111e-014
0,38	-6,875870e-014
0,41	-7,113179e-014
0,44	-7,442512e-014
0,47	-7,836596e-014
0,50	-8,127509e-014
0,53	-7,969216e-014
0,56	-6,983360e-014
0,59	-5,275576e-014
0,63	-3,784631e-014
0,66	-3,483063e-014
0,69	-4,330705e-014
0,72	-5,472976e-014
0,75	-6,120956e-014
0,78	-5,890148e-014
0,81	-4,453765e-014
0,84	-1,132887e-014
0,88	4,891570e-014
0,91	1,371578e-013
0,94	2,418923e-013
0,97	3,448782e-013
1,00	4,315998e-013
1,03	4,969753e-013
1,06	5,435740e-013
1,09	5,758661e-013
1,13	5,971861e-013
1,16	6,098442e-013
1,19	6,133801e-013
1,22	6,033589e-013
1,25	5,747828e-013
1,28	5,265281e-013
1,31	4,633290e-013
1,34	3,921348e-013
1,38	3,143796e-013
1,41	2,290227e-013
1,44	1,488524e-013
1,47	1,101536e-013
1,50	1,708316e-013
1,53	4,110090e-013
1,56	9,332191e-013
1,59	1,844693e-012
1,63	3,228986e-012
1,66	5,139415e-012
1,69	7,579877e-012
1,72	1,036797e-011
1,75	1,304262e-011
1,78	1,516385e-011
1,81	1,668912e-011
1,84	1,784855e-011
1,88	1,882131e-011
1,91	1,968288e-011
1,94	2,047471e-011
1,97	2,120956e-011
2,00	2,185952e-011
2,03	2,237071e-011
2,06	2,269159e-011
2,09	2,278841e-011
2,13	2,263153e-011
2,16	2,217288e-011
2,19	2,135149e-011
2,22	2,014719e-011
2,25	1,867167e-011
2,28	1,716767e-011
2,31	1,578036e-011
2,34	1,435899e-011
2,38	1,264404e-011
2,41	1,056533e-011
2,44	8,221459e-012
2,47	5,753165e-012
2,50	3,417728e-012
2,53	1,592010e-012
2,56	4,952927e-013
2,59	1,081512e-014
2,63	-1,442755e-013
2,66	-1,831948e-013
2,69	-1,951891e-013
2,72	-2,016847e-013
2,75	-2,040209e-013
2,78	-2,016536e-013
