Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:28:05

Start Time	23.01.2023 16:27:24
End Time	23.01.2023 16:27:51


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:27:24

Mass [amu]	Ion Current [A]
0,00	-4,979018e-014
0,03	-2,258447e-014
0,06	-7,469029e-015
0,09	-2,053015e-015
0,13	-2,231622e-015
0,16	-8,262954e-015
0,19	-2,444462e-014
0,22	-5,225824e-014
0,25	-8,361066e-014
0,28	-1,064131e-013
0,31	-1,171040e-013
0,34	-1,211649e-013
0,38	-1,239686e-013
0,41	-1,268468e-013
0,44	-1,289603e-013
0,47	-1,293810e-013
0,50	-1,278405e-013
0,53	-1,234957e-013
0,56	-1,144059e-013
0,59	-1,019383e-013
0,63	-9,331551e-014
0,66	-9,413325e-014
0,69	-1,020022e-013
0,72	-1,110430e-013
0,75	-1,166521e-013
0,78	-1,143105e-013
0,81	-9,927938e-014
0,84	-6,843456e-014
0,88	-1,912471e-014
0,91	5,184761e-014
0,94	1,422694e-013
0,97	2,387416e-013
1,00	3,231841e-013
1,03	3,856360e-013
1,06	4,279027e-013
1,09	4,565504e-013
1,13	4,748852e-013
1,16	4,811225e-013
1,19	4,732808e-013
1,22	4,524575e-013
1,25	4,194904e-013
1,28	3,737133e-013
1,31	3,168833e-013
1,34	2,525619e-013
1,38	1,814926e-013
1,41	1,039316e-013
1,44	2,752038e-014
1,47	-2,982171e-014
1,50	-4,466238e-014
1,53	4,748545e-015
1,56	1,337760e-013
1,59	3,510318e-013
1,63	6,624372e-013
1,66	1,075759e-012
1,69	1,597680e-012
1,72	2,222055e-012
1,75	2,920343e-012
1,78	3,645355e-012
1,81	4,346852e-012
1,84	4,988864e-012
1,88	5,555444e-012
1,91	6,039694e-012
1,94	6,431285e-012
1,97	6,715616e-012
2,00	6,879297e-012
2,03	6,916655e-012
2,06	6,835998e-012
2,09	6,657860e-012
2,13	6,402111e-012
2,16	6,074770e-012
2,19	5,666214e-012
2,22	5,167049e-012
2,25	4,599391e-012
2,28	4,028740e-012
2,31	3,516216e-012
2,34	3,057611e-012
2,38	2,596901e-012
2,41	2,090623e-012
2,44	1,539511e-012
2,47	9,851954e-013
2,50	4,984104e-013
2,53	1,443111e-013
2,56	-6,091148e-014
2,59	-1,525864e-013
2,63	-1,821045e-013
2,66	-1,881202e-013
2,69	-1,903392e-013
2,72	-1,943164e-013
2,75	-1,977726e-013
2,78	-1,970652e-013
2,81	-1,931452e-013
2,84	-1,909662e-013
2,88	-1,926778e-013
2,91	-1,954659e-013
2,94	-1,966894e-013
2,97	-1,970066e-013
3,00	-1,980335e-013
3,03	-1,999853e-013
3,06	-2,017022e-013
3,09	-2,016537e-013
3,13	-1,996085e-013
3,16	-1,972372e-013
3,19	-1,962366e-013
3,22	-1,967357e-013
3,25	-1,967973e-013
3,28	-1,911794e-013
3,31	-1,710706e-013
3,34	-1,256468e-013
3,38	-4,251146e-014
3,41	9,078654e-014
3,44	2,807299e-013
3,47	5,229525e-013
3,50	8,028029e-013
3,53	1,098239e-012
3,56	1,386025e-012
3,59	1,650556e-012
3,63	1,886590e-012
3,66	2,093915e-012
3,69	2,271331e-012
3,72	2,416272e-012
3,75	2,527663e-012
3,78	2,604303e-012
3,81	2,641921e-012
3,84	2,638684e-012
3,88	2,603189e-012
3,91	2,552453e-012
3,94	2,503091e-012
3,97	2,463997e-012
4,00	2,431489e-012
4,03	2,389603e-012
4,06	2,319581e-012
4,09	2,210909e-012
4,13	2,061987e-012
4,16	1,875475e-012
4,19	1,664502e-012
4,22	1,462711e-012
4,25	1,308345e-012
4,28	1,208650e-012
4,31	1,133124e-012
4,34	1,044275e-012
4,38	9,211141e-013
4,41	7,568864e-013
4,44	5,546575e-013
4,47	3,324548e-013
4,50	1,238724e-013
4,53	-3,686904e-014
4,56	-1,354195e-013
4,59	-1,824163e-013
4,63	-1,992822e-013
4,66	-2,033312e-013
4,69	-2,044456e-013
4,72	-2,071630e-013
4,75	-2,117001e-013
4,78	-2,159619e-013
4,81	-2,183899e-013
4,84	-2,178693e-013
4,88	-2,141935e-013
4,91	-2,108650e-013
4,94	-2,121605e-013
4,97	-2,169019e-013
5,00	-2,205883e-013
5,03	-2,216192e-013
5,06	-2,212168e-013
5,09	-2,208475e-013
5,13	-2,219540e-013
5,16	-2,245376e-013
5,19	-2,261448e-013
5,22	-2,252498e-013
5,25	-2,235283e-013
5,28	-2,232351e-013
5,31	-2,248567e-013
5,34	-2,272068e-013
5,38	-2,285120e-013
5,41	-2,279043e-013
5,44	-2,258073e-013
5,47	-2,230006e-013
5,50	-2,204236e-013
5,53	-2,193661e-013
5,56	-2,204122e-013
5,59	-2,222634e-013
5,63	-2,223542e-013
5,66	-2,197780e-013
5,69	-2,167426e-013
5,72	-2,149089e-013
5,75	-2,131350e-013
5,78	-2,110732e-013
5,81	-2,103190e-013
5,84	-2,111248e-013
5,88	-2,121425e-013
5,91	-2,129543e-013
5,94	-2,140817e-013
5,97	-2,146149e-013
6,00	-2,117989e-013
6,03	-2,046814e-013
6,06	-1,969399e-013
6,09	-1,932664e-013
6,13	-1,944539e-013
6,16	-1,983478e-013
6,19	-2,032192e-013
6,22	-2,083392e-013
6,25	-2,128818e-013
6,28	-2,158703e-013
6,31	-2,167723e-013
6,34	-2,151627e-013
6,38	-2,113306e-013
6,41	-2,075969e-013
6,44	-2,063126e-013
6,47	-2,065774e-013
6,50	-2,055538e-013
6,53	-2,023839e-013
6,56	-1,980567e-013
6,59	-1,929863e-013
6,63	-1,870469e-013
6,66	-1,805195e-013
6,69	-1,747409e-013
6,72	-1,718521e-013
6,75	-1,722658e-013
6,78	-1,733667e-013
6,81	-1,724502e-013
6,84	-1,697381e-013
