Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:23:07

Start Time	23.01.2023 16:22:06
End Time	23.01.2023 16:22:43


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:22:06

Mass [amu]	Ion Current [A]
0,00	-3,316034e-014
0,03	-1,478284e-014
0,06	-4,819149e-015
0,09	-1,297562e-015
0,13	-1,368721e-015
0,16	-5,168405e-015
0,19	-1,581019e-014
0,22	-3,535601e-014
0,25	-5,982939e-014
0,28	-8,079368e-014
0,31	-9,281861e-014
0,34	-9,639927e-014
0,38	-9,480433e-014
0,41	-9,186694e-014
0,44	-9,169155e-014
0,47	-9,660685e-014
0,50	-1,045318e-013
0,53	-1,101093e-013
0,56	-1,083191e-013
0,59	-9,844275e-014
0,63	-8,664597e-014
0,66	-7,992538e-014
0,69	-7,725384e-014
0,72	-7,335942e-014
0,75	-6,681056e-014
0,78	-5,787638e-014
0,81	-4,332004e-014
0,84	-1,628097e-014
0,88	3,120880e-014
0,91	1,033709e-013
0,94	1,946333e-013
0,97	2,894928e-013
1,00	3,708210e-013
1,03	4,297036e-013
1,06	4,685691e-013
1,09	4,956325e-013
1,13	5,163311e-013
1,16	5,299575e-013
1,19	5,324925e-013
1,22	5,193674e-013
1,25	4,866543e-013
1,28	4,345216e-013
1,31	3,703368e-013
1,34	3,031940e-013
1,38	2,339203e-013
1,41	1,581573e-013
1,44	8,215246e-014
1,47	2,817367e-014
1,50	2,514449e-014
1,53	1,038002e-013
1,56	2,999830e-013
1,59	6,534110e-013
1,63	1,202647e-012
1,66	1,982681e-012
1,69	3,015662e-012
1,72	4,290731e-012
1,75	5,764852e-012
1,78	7,400486e-012
1,81	9,154707e-012
1,84	1,085729e-011
1,88	1,219366e-011
1,91	1,298769e-011
1,94	1,339544e-011
1,97	1,366203e-011
2,00	1,385459e-011
2,03	1,391643e-011
2,06	1,380990e-011
2,09	1,353749e-011
2,13	1,308692e-011
2,16	1,241023e-011
2,19	1,149620e-011
2,22	1,045059e-011
2,25	9,434781e-012
2,28	8,535776e-012
2,31	7,735529e-012
2,34	6,946796e-012
2,38	6,058619e-012
2,41	5,001250e-012
2,44	3,793129e-012
2,47	2,547245e-012
2,50	1,438114e-012
2,53	6,209670e-013
2,56	1,429838e-013
2,59	-7,124114e-014
2,63	-1,445579e-013
2,66	-1,669113e-013
2,69	-1,761366e-013
2,72	-1,803796e-013
2,75	-1,801899e-013
2,78	-1,766170e-013
2,81	-1,716526e-013
2,84	-1,677289e-013
2,88	-1,667547e-013
2,91	-1,688035e-013
2,94	-1,721224e-013
2,97	-1,749369e-013
3,00	-1,771019e-013
3,03	-1,788265e-013
3,06	-1,793319e-013
3,09	-1,785316e-013
3,13	-1,776007e-013
3,16	-1,772009e-013
3,19	-1,766035e-013
3,22	-1,742107e-013
3,25	-1,682529e-013
3,28	-1,558633e-013
3,31	-1,296051e-013
3,34	-7,315039e-014
3,38	3,852620e-014
3,41	2,303287e-013
3,44	5,141898e-013
3,47	8,818378e-013
3,50	1,308459e-012
3,53	1,762915e-012
3,56	2,214930e-012
3,59	2,635349e-012
3,63	2,997680e-012
3,66	3,288302e-012
3,69	3,513170e-012
3,72	3,688450e-012
3,75	3,826572e-012
3,78	3,931239e-012
3,81	4,000217e-012
3,84	4,032356e-012
3,88	4,033779e-012
3,91	4,016277e-012
3,94	3,990224e-012
3,97	3,960002e-012
4,00	3,922310e-012
4,03	3,866250e-012
4,06	3,778746e-012
4,09	3,649774e-012
4,13	3,468970e-012
4,16	3,226699e-012
4,19	2,934706e-012
4,22	2,642319e-012
4,25	2,407644e-012
4,28	2,242824e-012
4,31	2,103996e-012
4,34	1,936590e-012
4,38	1,711997e-012
4,41	1,424341e-012
4,44	1,079546e-012
4,47	7,038554e-013
4,50	3,523133e-013
4,53	8,503623e-014
4,56	-7,393347e-014
4,59	-1,468275e-013
4,63	-1,735337e-013
4,66	-1,828201e-013
4,69	-1,874170e-013
4,72	-1,911497e-013
4,75	-1,938122e-013
4,78	-1,945848e-013
4,81	-1,946165e-013
4,84	-1,956302e-013
4,88	-1,970843e-013
4,91	-1,969098e-013
4,94	-1,945730e-013
4,97	-1,917096e-013
5,00	-1,902076e-013
5,03	-1,907052e-013
5,06	-1,921969e-013
5,09	-1,926856e-013
5,13	-1,914890e-013
5,16	-1,903912e-013
5,19	-1,905229e-013
5,22	-1,907850e-013
5,25	-1,912223e-013
5,28	-1,931284e-013
5,31	-1,954928e-013
5,34	-1,963119e-013
5,38	-1,961267e-013
5,41	-1,964951e-013
5,44	-1,970962e-013
5,47	-1,970497e-013
5,50	-1,967576e-013
5,53	-1,967998e-013
5,56	-1,976280e-013
5,59	-2,003861e-013
5,63	-2,047782e-013
5,66	-2,076507e-013
5,69	-2,065657e-013
5,72	-2,029007e-013
5,75	-1,995526e-013
5,78	-1,975881e-013
5,81	-1,968541e-013
5,84	-1,976350e-013
5,88	-2,001961e-013
5,91	-2,034933e-013
5,94	-2,044487e-013
5,97	-2,005220e-013
6,00	-1,941137e-013
6,03	-1,900032e-013
6,06	-1,884101e-013
6,09	-1,862149e-013
6,13	-1,832566e-013
6,16	-1,823670e-013
6,19	-1,849319e-013
6,22	-1,887894e-013
6,25	-1,902989e-013
6,28	-1,883209e-013
6,31	-1,852272e-013
6,34	-1,840469e-013
6,38	-1,859750e-013
6,41	-1,899065e-013
6,44	-1,931452e-013
6,47	-1,937020e-013
6,50	-1,925455e-013
6,53	-1,923732e-013
6,56	-1,940103e-013
6,59	-1,955256e-013
6,63	-1,949115e-013
6,66	-1,923322e-013
6,69	-1,896852e-013
6,72	-1,881534e-013
6,75	-1,870297e-013
6,78	-1,858592e-013
6,81	-1,854010e-013
6,84	-1,855158e-013
6,88	-1,850226e-013
6,91	-1,841836e-013
6,94	-1,850165e-013
6,97	-1,883845e-013
7,00	-1,924129e-013
7,03	-1,950916e-013
7,06	-1,971625e-013
7,09	-2,007774e-013
7,13	-2,055481e-013
7,16	-2,073794e-013
7,19	-2,024422e-013
7,22	-1,919442e-013
7,25	-1,822407e-013
7,28	-1,792498e-013
7,31	-1,826455e-013
7,34	-1,874936e-013
7,38	-1,903591e-013
7,41	-1,912906e-013
7,44	-1,916126e-013
7,47	-1,917746e-013
7,50	-1,916856e-013
