Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:31:21

Start Time	23.01.2023 16:30:46
End Time	23.01.2023 16:31:12


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:30:46

Mass [amu]	Ion Current [A]
0,00	-3,780819e-014
0,03	-1,749741e-014
0,06	-5,888034e-015
0,09	-1,564189e-015
0,13	-1,288200e-015
0,16	-4,467489e-015
0,19	-1,306194e-014
0,22	-2,765595e-014
0,25	-4,435403e-014
0,28	-5,860060e-014
0,31	-7,004897e-014
0,34	-7,905813e-014
0,38	-8,394385e-014
0,41	-8,563049e-014
0,44	-8,752007e-014
0,47	-9,030842e-014
0,50	-9,264551e-014
0,53	-9,236505e-014
0,56	-8,459159e-014
0,59	-6,753723e-014
0,63	-5,034476e-014
0,66	-4,471194e-014
0,69	-5,092807e-014
0,72	-6,063936e-014
0,75	-6,722026e-014
0,78	-6,625306e-014
0,81	-5,085007e-014
0,84	-1,159453e-014
0,88	5,938484e-014
0,91	1,636558e-013
0,94	2,921240e-013
0,97	4,246714e-013
1,00	5,392608e-013
1,03	6,246918e-013
1,06	6,832585e-013
1,09	7,237234e-013
1,13	7,542572e-013
1,16	7,774331e-013
1,19	7,888017e-013
1,22	7,810893e-013
1,25	7,491429e-013
1,28	6,922103e-013
1,31	6,141464e-013
1,34	5,200288e-013
1,38	4,119223e-013
1,41	2,918709e-013
1,44	1,711266e-013
1,47	7,538479e-014
1,50	4,135084e-014
1,53	1,093190e-013
1,56	3,181377e-013
1,59	7,045018e-013
1,63	1,305437e-012
1,66	2,158177e-012
1,69	3,285776e-012
1,72	4,676148e-012
1,75	6,292053e-012
1,78	8,091661e-012
1,81	9,960624e-012
1,84	1,163776e-011
1,88	1,288172e-011
1,91	1,371242e-011
1,94	1,432408e-011
1,97	1,482451e-011
2,00	1,517967e-011
2,03	1,532935e-011
2,06	1,526669e-011
2,09	1,502210e-011
2,13	1,460488e-011
2,16	1,396505e-011
2,19	1,302366e-011
2,22	1,179807e-011
2,25	1,050502e-011
2,28	9,424418e-012
2,31	8,621355e-012
2,34	7,901601e-012
2,38	7,027762e-012
2,41	5,889096e-012
2,44	4,516360e-012
2,47	3,053974e-012
2,50	1,725312e-012
2,53	7,362173e-013
2,56	1,543580e-013
2,59	-1,093869e-013
2,63	-2,002749e-013
2,66	-2,237053e-013
2,69	-2,276599e-013
2,72	-2,263552e-013
2,75	-2,221262e-013
2,78	-2,163970e-013
2,81	-2,119806e-013
2,84	-2,108071e-013
2,88	-2,117174e-013
2,91	-2,124025e-013
2,94	-2,130161e-013
2,97	-2,147454e-013
3,00	-2,162551e-013
3,03	-2,152957e-013
3,06	-2,121930e-013
3,09	-2,091830e-013
