Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:21:30

Start Time	23.01.2023 16:20:52
End Time	23.01.2023 16:21:18


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:20:52

Mass [amu]	Ion Current [A]
7,53	-1,895366e-013
7,56	-1,865102e-013
7,59	-1,876693e-013
7,63	-1,905489e-013
7,66	-1,920418e-013
7,69	-1,909995e-013
7,72	-1,879289e-013
7,75	-1,845443e-013
7,78	-1,825024e-013
7,81	-1,820071e-013
7,84	-1,829916e-013
7,88	-1,861251e-013
7,91	-1,909372e-013
7,94	-1,951893e-013
7,97	-1,967869e-013
8,00	-1,948909e-013
8,03	-1,901965e-013
8,06	-1,853081e-013
8,09	-1,834201e-013
8,13	-1,851377e-013
8,16	-1,875975e-013
8,19	-1,879788e-013
8,22	-1,859420e-013
8,25	-1,818195e-013
8,28	-1,764316e-013
8,31	-1,727212e-013
8,34	-1,735495e-013
8,38	-1,785220e-013
8,41	-1,843597e-013
8,44	-1,874445e-013
8,47	-1,861306e-013
8,50	-1,817050e-013
8,53	-1,776413e-013
8,56	-1,771671e-013
8,59	-1,805147e-013
8,63	-1,851919e-013
8,66	-1,896608e-013
8,69	-1,941551e-013
8,72	-1,973528e-013
8,75	-1,967678e-013
8,78	-1,925746e-013
8,81	-1,875920e-013
8,84	-1,844135e-013
8,88	-1,840038e-013
8,91	-1,856890e-013
8,94	-1,878279e-013
8,97	-1,889854e-013
9,00	-1,885517e-013
9,03	-1,874858e-013
9,06	-1,885463e-013
9,09	-1,927771e-013
9,13	-1,967560e-013
9,16	-1,962655e-013
9,19	-1,908191e-013
9,22	-1,836345e-013
9,25	-1,785774e-013
9,28	-1,770349e-013
9,31	-1,779500e-013
9,34	-1,805405e-013
9,38	-1,845956e-013
9,41	-1,886031e-013
9,44	-1,902117e-013
9,47	-1,879123e-013
9,50	-1,827796e-013
9,53	-1,791979e-013
9,56	-1,801917e-013
9,59	-1,833482e-013
9,63	-1,851480e-013
9,66	-1,849209e-013
9,69	-1,826920e-013
9,72	-1,783623e-013
9,75	-1,729298e-013
9,78	-1,678976e-013
9,81	-1,644670e-013
9,84	-1,632959e-013
9,88	-1,644292e-013
9,91	-1,670363e-013
9,94	-1,687509e-013
9,97	-1,675550e-013
10,00	-1,646241e-013
10,03	-1,626453e-013
10,06	-1,629837e-013
10,09	-1,665003e-013
10,13	-1,734918e-013
10,16	-1,814365e-013
10,19	-1,870174e-013
10,22	-1,898707e-013
10,25	-1,907053e-013
10,28	-1,886269e-013
10,31	-1,830166e-013
10,34	-1,753613e-013
10,38	-1,688565e-013
10,41	-1,666745e-013
10,44	-1,692547e-013
10,47	-1,740976e-013
10,50	-1,787425e-013
10,53	-1,822466e-013
10,56	-1,836976e-013
10,59	-1,818956e-013
10,63	-1,775487e-013
10,66	-1,741184e-013
10,69	-1,752294e-013
10,72	-1,809896e-013
10,75	-1,875906e-013
10,78	-1,909675e-013
10,81	-1,897930e-013
10,84	-1,852932e-013
10,88	-1,796851e-013
10,91	-1,746394e-013
10,94	-1,714396e-013
10,97	-1,719430e-013
11,00	-1,771357e-013
11,03	-1,851377e-013
11,06	-1,919630e-013
11,09	-1,942778e-013
11,13	-1,920304e-013
11,16	-1,880538e-013
11,19	-1,847893e-013
11,22	-1,835199e-013
11,25	-1,852603e-013
11,28	-1,888994e-013
11,31	-1,917690e-013
11,34	-1,939336e-013
11,38	-1,971846e-013
11,41	-2,003012e-013
11,44	-1,999898e-013
11,47	-1,947172e-013
11,50	-1,847688e-013
11,53	-1,709676e-013
11,56	-1,546831e-013
11,59	-1,374087e-013
11,63	-1,204976e-013
11,66	-1,057372e-013
11,69	-9,420260e-014
11,72	-8,487401e-014
11,75	-7,648405e-014
11,78	-6,912241e-014
11,81	-6,320590e-014
11,84	-5,884467e-014
11,88	-5,611141e-014
11,91	-5,512850e-014
11,94	-5,587500e-014
11,97	-5,775285e-014
12,00	-6,002407e-014
12,03	-6,282378e-014
12,06	-6,628821e-014
12,09	-6,949272e-014
12,13	-7,251618e-014
12,16	-7,784141e-014
12,19	-8,729649e-014
12,22	-9,894240e-014
12,25	-1,085173e-013
12,28	-1,138642e-013
12,31	-1,167040e-013
12,34	-1,195538e-013
12,38	-1,236143e-013
12,41	-1,301263e-013
12,44	-1,402112e-013
12,47	-1,526160e-013
12,50	-1,635251e-013
12,53	-1,695995e-013
12,56	-1,715081e-013
12,59	-1,734154e-013
12,63	-1,780143e-013
12,66	-1,833750e-013
12,69	-1,855286e-013
12,72	-1,831745e-013
12,75	-1,790073e-013
12,78	-1,756137e-013
12,81	-1,696497e-013
12,84	-1,520631e-013
12,88	-1,159921e-013
12,91	-6,360606e-014
12,94	-5,108108e-015
12,97	4,800948e-014
13,00	9,019502e-014
13,03	1,233147e-013
13,06	1,511854e-013
13,09	1,756882e-013
13,13	1,973384e-013
13,16	2,152161e-013
