Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:29:44

Start Time	23.01.2023 16:29:10
End Time	23.01.2023 16:29:37


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:29:10

Mass [amu]	Ion Current [A]
0,00	-4,289984e-014
0,03	-1,837449e-014
0,06	-5,761877e-015
0,09	-1,491605e-015
0,13	-1,495113e-015
0,16	-5,539655e-015
0,19	-1,665573e-014
0,22	-3,653080e-014
0,25	-6,066866e-014
0,28	-8,098901e-014
0,31	-9,376542e-014
0,34	-1,013070e-013
0,38	-1,064810e-013
0,41	-1,094616e-013
0,44	-1,099450e-013
0,47	-1,095045e-013
0,50	-1,104655e-013
0,53	-1,128903e-013
0,56	-1,128100e-013
0,59	-1,064259e-013
0,63	-9,739667e-014
0,66	-9,350073e-014
0,69	-9,567652e-014
0,72	-9,826235e-014
0,75	-9,742370e-014
0,78	-9,255986e-014
0,81	-8,171417e-014
0,84	-5,836794e-014
0,88	-1,362245e-014
0,91	5,601307e-014
0,94	1,430962e-013
0,97	2,326244e-013
1,00	3,102851e-013
1,03	3,684174e-013
1,06	4,071900e-013
1,09	4,319839e-013
1,13	4,488200e-013
1,16	4,600617e-013
1,19	4,626034e-013
1,22	4,503104e-013
1,25	4,190751e-013
1,28	3,696504e-013
1,31	3,073695e-013
1,34	2,394125e-013
1,38	1,700437e-013
1,41	1,004846e-013
1,44	3,616255e-014
1,47	-9,177599e-015
1,50	-1,760237e-014
1,53	3,008281e-014
1,56	1,558006e-013
1,59	3,833149e-013
1,63	7,351675e-013
1,66	1,230960e-012
1,69	1,883848e-012
1,72	2,689570e-012
1,75	3,610999e-012
1,78	4,577999e-012
1,81	5,514637e-012
1,84	6,368436e-012
1,88	7,115246e-012
1,91	7,748116e-012
1,94	8,263678e-012
1,97	8,652065e-012
2,00	8,897435e-012
2,03	8,987376e-012
2,06	8,923490e-012
2,09	8,726210e-012
2,13	8,423384e-012
2,16	8,025488e-012
2,19	7,514512e-012
2,22	6,869647e-012
2,25	6,118749e-012
2,28	5,357654e-012
2,31	4,682821e-012
2,34	4,097224e-012
2,38	3,516379e-012
2,41	2,866025e-012
2,44	2,145699e-012
2,47	1,416602e-012
2,50	7,672570e-013
2,53	2,794882e-013
2,56	-1,379430e-014
2,59	-1,479921e-013
2,63	-1,931222e-013
2,66	-2,048664e-013
2,69	-2,088402e-013
2,72	-2,123136e-013
2,75	-2,162317e-013
2,78	-2,193021e-013
2,81	-2,192596e-013
2,84	-2,151139e-013
2,88	-2,087458e-013
2,91	-2,029885e-013
2,94	-1,984042e-013
2,97	-1,940646e-013
3,00	-1,910575e-013
3,03	-1,914088e-013
3,06	-1,944573e-013
3,09	-1,981286e-013
3,13	-2,019856e-013
3,16	-2,069907e-013
3,19	-2,129296e-013
3,22	-2,163098e-013
3,25	-2,125736e-013
3,28	-2,004055e-013
3,31	-1,798752e-013
3,34	-1,450760e-013
3,38	-8,170999e-014
3,41	2,590900e-014
3,44	1,853716e-013
3,47	3,930221e-013
3,50	6,363951e-013
3,53	8,957889e-013
3,56	1,148184e-012
3,59	1,377373e-012
3,63	1,578563e-012
3,66	1,751056e-012
3,69	1,893633e-012
3,72	2,008371e-012
3,75	2,099173e-012
3,78	2,165122e-012
3,81	2,203123e-012
3,84	2,215637e-012
3,88	2,209370e-012
3,91	2,189986e-012
3,94	2,162809e-012
3,97	2,133607e-012
4,00	2,103406e-012
4,03	2,064806e-012
4,06	2,007144e-012
4,09	1,922977e-012
4,13	1,806492e-012
4,16	1,653085e-012
4,19	1,471124e-012
4,22	1,290909e-012
4,25	1,147709e-012
4,28	1,050568e-012
4,31	9,748851e-013
4,34	8,862659e-013
4,38	7,654230e-013
4,41	6,125330e-013
4,44	4,376833e-013
4,47	2,546777e-013
4,50	8,267731e-014
4,53	-5,613640e-014
4,56	-1,484336e-013
4,59	-1,975386e-013
4,63	-2,168102e-013
4,66	-2,196862e-013
4,69	-2,169281e-013
4,72	-2,154332e-013
4,75	-2,160652e-013
4,78	-2,162185e-013
4,81	-2,153066e-013
4,84	-2,154153e-013
4,88	-2,170049e-013
4,91	-2,172296e-013
4,94	-2,141589e-013
4,97	-2,103550e-013
5,00	-2,092201e-013
5,03	-2,101642e-013
5,06	-2,108103e-013
5,09	-2,103513e-013
5,13	-2,084551e-013
5,16	-2,052457e-013
5,19	-2,031049e-013
5,22	-2,048156e-013
5,25	-2,098304e-013
5,28	-2,144678e-013
5,31	-2,157019e-013
5,34	-2,142160e-013
5,38	-2,136897e-013
5,41	-2,166258e-013
5,44	-2,215065e-013
5,47	-2,248362e-013
5,50	-2,248872e-013
5,53	-2,230345e-013
5,56	-2,219752e-013
5,59	-2,223612e-013
5,63	-2,222564e-013
5,66	-2,205667e-013
5,69	-2,186854e-013
5,72	-2,183918e-013
5,75	-2,199382e-013
5,78	-2,218755e-013
5,81	-2,224260e-013
5,84	-2,214921e-013
5,88	-2,204980e-013
5,91	-2,207807e-013
5,94	-2,226460e-013
5,97	-2,247929e-013
6,00	-2,258112e-013
6,03	-2,265748e-013
6,06	-2,287295e-013
6,09	-2,319687e-013
6,13	-2,345931e-013
6,16	-2,350878e-013
6,19	-2,332389e-013
6,22	-2,309923e-013
6,25	-2,305456e-013
6,28	-2,312692e-013
6,31	-2,311031e-013
6,34	-2,300307e-013
6,38	-2,291768e-013
6,41	-2,280851e-013
6,44	-2,254405e-013
6,47	-2,212122e-013
6,50	-2,165467e-013
6,53	-2,121392e-013
6,56	-2,075021e-013
6,59	-2,023317e-013
6,63	-1,974649e-013
6,66	-1,931360e-013
6,69	-1,886272e-013
6,72	-1,844677e-013
6,75	-1,819887e-013
6,78	-1,808517e-013
6,81	-1,797664e-013
6,84	-1,790031e-013
6,88	-1,797673e-013
6,91	-1,817358e-013
6,94	-1,833555e-013
6,97	-1,843544e-013
7,00	-1,861846e-013
7,03	-1,897561e-013
7,06	-1,937896e-013
7,09	-1,960216e-013
7,13	-1,955512e-013
7,16	-1,931475e-013
7,19	-1,894737e-013
7,22	-1,841849e-013
7,25	-1,779117e-013
7,28	-1,736060e-013
7,31	-1,738074e-013
7,34	-1,784554e-013
7,38	-1,862257e-013
7,41	-1,953717e-013
7,44	-2,034425e-013
7,47	-2,081524e-013
7,50	-2,090869e-013
7,53	-2,080835e-013
7,56	-2,067736e-013
7,59	-2,050285e-013
7,63	-2,031431e-013
7,66	-2,022513e-013
7,69	-2,020709e-013
7,72	-2,020728e-013
7,75	-2,034009e-013
7,78	-2,065026e-013
7,81	-2,095100e-013
7,84	-2,103511e-013
7,88	-2,085005e-013
7,91	-2,057094e-013
7,94	-2,048647e-013
7,97	-2,058147e-013
8,00	-2,055322e-013
8,03	-2,038829e-013
8,06	-2,036440e-013
8,09	-2,053582e-013
8,13	-2,075374e-013
8,16	-2,096344e-013
8,19	-2,121480e-013
8,22	-2,154602e-013
8,25	-2,183571e-013
8,28	-2,186339e-013
8,31	-2,163628e-013
8,34	-2,142834e-013
8,38	-2,143501e-013
8,41	-2,160691e-013
8,44	-2,178576e-013
8,47	-2,183979e-013
8,50	-2,175036e-013
8,53	-2,156381e-013
8,56	-2,125951e-013
8,59	-2,090250e-013
8,63	-2,076056e-013
8,66	-2,098072e-013
8,69	-2,137041e-013
8,72	-2,158377e-013
8,75	-2,137993e-013
8,78	-2,083730e-013
8,81	-2,036248e-013
8,84	-2,032899e-013
8,88	-2,072054e-013
8,91	-2,115424e-013
8,94	-2,120341e-013
8,97	-2,082674e-013
9,00	-2,047474e-013
9,03	-2,053865e-013
