Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:16:53

Start Time	23.01.2023 16:15:49
End Time	23.01.2023 16:16:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:15:49

Mass [amu]	Ion Current [A]
7,53	-1,478376e-013
7,56	-1,492485e-013
7,59	-1,537131e-013
7,63	-1,587597e-013
7,66	-1,614221e-013
7,69	-1,592169e-013
7,72	-1,532307e-013
7,75	-1,476400e-013
7,78	-1,465613e-013
7,81	-1,501711e-013
7,84	-1,536512e-013
7,88	-1,532063e-013
7,91	-1,508244e-013
7,94	-1,496929e-013
7,97	-1,497744e-013
8,00	-1,503253e-013
8,03	-1,513916e-013
8,06	-1,523395e-013
8,09	-1,523373e-013
8,13	-1,509354e-013
8,16	-1,480935e-013
8,19	-1,453766e-013
8,22	-1,454983e-013
8,25	-1,495292e-013
8,28	-1,551267e-013
8,31	-1,578890e-013
8,34	-1,556900e-013
8,38	-1,513236e-013
8,41	-1,487961e-013
8,44	-1,490602e-013
8,47	-1,516170e-013
8,50	-1,567985e-013
8,53	-1,637049e-013
8,56	-1,687192e-013
8,59	-1,684280e-013
8,63	-1,628843e-013
8,66	-1,555714e-013
8,69	-1,503527e-013
8,72	-1,486390e-013
8,75	-1,493986e-013
8,78	-1,504463e-013
8,81	-1,498895e-013
8,84	-1,481774e-013
8,88	-1,477726e-013
8,91	-1,494360e-013
8,94	-1,509391e-013
8,97	-1,504247e-013
9,00	-1,493081e-013
9,03	-1,505849e-013
9,06	-1,547974e-013
9,09	-1,597359e-013
9,13	-1,639115e-013
9,16	-1,673325e-013
9,19	-1,694741e-013
9,22	-1,695556e-013
9,25	-1,681542e-013
9,28	-1,671116e-013
9,31	-1,679228e-013
9,34	-1,695623e-013
9,38	-1,688572e-013
9,41	-1,643462e-013
9,44	-1,580526e-013
9,47	-1,533507e-013
9,50	-1,527850e-013
9,53	-1,562029e-013
9,56	-1,594139e-013
9,59	-1,575275e-013
9,63	-1,511162e-013
9,66	-1,462739e-013
9,69	-1,481464e-013
9,72	-1,560347e-013
9,75	-1,639184e-013
9,78	-1,659444e-013
9,81	-1,621125e-013
9,84	-1,569396e-013
9,88	-1,536633e-013
9,91	-1,526399e-013
9,94	-1,536769e-013
9,97	-1,565977e-013
10,00	-1,601181e-013
10,03	-1,627510e-013
10,06	-1,642558e-013
10,09	-1,646711e-013
10,13	-1,635142e-013
10,16	-1,605885e-013
10,19	-1,567987e-013
10,22	-1,543195e-013
10,25	-1,554460e-013
10,28	-1,603602e-013
10,31	-1,659672e-013
10,34	-1,680353e-013
10,38	-1,653730e-013
10,41	-1,606913e-013
10,44	-1,566155e-013
10,47	-1,525491e-013
10,50	-1,470065e-013
10,53	-1,418593e-013
10,56	-1,412111e-013
10,59	-1,457642e-013
10,63	-1,515766e-013
10,66	-1,550315e-013
10,69	-1,555272e-013
