% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-4.714821E-7
-11.993000	-3.783498E-7
-11.986000	-3.783498E-7
-11.979000	-5.686888E-7
-11.972000	-1.838198E-7
-11.965000	-5.475013E-7
-11.958000	-3.656605E-7
-11.951000	-3.995374E-7
-11.944000	-5.686888E-7
-11.937000	-5.052425E-7
-11.930000	-6.870832E-7
-11.923000	-4.756730E-7
-11.916000	-4.544854E-7
-11.909000	-4.587928E-7
-11.902000	-3.741588E-7
-11.895000	-3.319001E-7
-11.888000	-3.275927E-7
-11.881000	-3.319001E-7
-11.874000	-1.627486E-7
-11.867000	-4.249159E-7
-11.860000	-4.249159E-7
-11.853000	-4.249159E-7
-11.846000	-4.461035E-7
-11.839000	-4.037283E-7
-11.832000	-4.080357E-7
-11.825000	-4.122267E-7
-11.818000	-4.798640E-7
-11.811000	-4.883623E-7
-11.804000	-3.487803E-7
-11.797000	-1.754379E-7
-11.790000	-2.853340E-7
-11.783000	-3.107125E-7
-11.776000	-3.360910E-7
-11.769000	-3.614696E-7
-11.762000	-3.234018E-7
-11.755000	-4.417961E-7
-11.748000	-3.360910E-7
-11.741000	-6.406335E-7
-11.734000	-5.644979E-7
-11.727000	-5.644979E-7
-11.720000	-1.838198E-7
-11.713000	-4.756730E-7
-11.706000	-3.572786E-7
-11.699000	-4.080357E-7
-11.692000	-3.360910E-7
-11.685000	-5.518086E-7
-11.678000	-2.853340E-7
-11.671000	-3.995374E-7
-11.664000	-3.275927E-7
-11.657000	-4.502945E-7
-11.650000	-4.502945E-7
-11.643000	-4.164176E-7
-11.636000	-4.714821E-7
-11.629000	-4.376052E-7
-11.622000	-3.868481E-7
-11.615000	-5.010515E-7
-11.608000	-5.264301E-7
-11.601000	-4.925532E-7
-11.594000	-3.953464E-7
-11.587000	-3.402820E-7
-11.580000	-3.402820E-7
-11.573000	-3.445894E-7
-11.566000	-5.221227E-7
-11.559000	-3.192108E-7
-11.552000	-3.783498E-7
-11.545000	-5.771872E-7
-11.538000	-3.995374E-7
-11.531000	-3.529713E-7
-11.523500	-3.995374E-7
-11.516500	-4.968606E-7
-11.509500	-4.756730E-7
-11.502500	-4.544854E-7
-11.495500	-4.629837E-7
-11.488500	-4.207250E-7
-11.481500	-4.080357E-7
-11.474500	-3.234018E-7
-11.467500	-3.995374E-7
-11.460500	-1.288718E-7
-11.453500	-2.853340E-7
-11.446500	-4.207250E-7
-11.439500	-3.995374E-7
-11.432500	-3.910391E-7
-11.425500	-5.940674E-7
-11.418500	-3.572786E-7
-11.411500	-3.022142E-7
-11.404500	-3.741588E-7
-11.397500	-4.756730E-7
-11.390500	-2.980232E-7
-11.383500	-4.164176E-7
-11.376500	-4.037283E-7
-11.369500	-4.756730E-7
-11.362500	-5.644979E-7
-11.355500	-4.037283E-7
-11.348500	-2.980232E-7
-11.341500	-3.910391E-7
-11.334500	-1.669396E-7
-11.327500	-3.614696E-7
-11.320500	-4.798640E-7
-11.313500	-4.080357E-7
-11.306500	-5.137408E-7
-11.299500	-2.472661E-7
-11.292500	-3.783498E-7
-11.285500	-3.910391E-7
-11.278500	-3.445894E-7
-11.271500	-4.080357E-7
-11.264500	-4.334142E-7
-11.257500	-1.500593E-7
-11.250500	-3.192108E-7
-11.243500	-3.741588E-7
-11.236500	-1.542503E-7
-11.229500	-4.417961E-7
-11.222500	-4.417961E-7
-11.215500	-4.249159E-7
-11.208500	-3.741588E-7
-11.201500	-4.925532E-7
-11.194500	-4.714821E-7
-11.187500	-3.487803E-7
-11.180500	-2.176967E-7
-11.173500	-4.334142E-7
-11.166500	-3.572786E-7
-11.159500	-3.319001E-7
-11.152500	-3.699679E-7
-11.145500	-2.768356E-7
-11.138500	-5.264301E-7
-11.131500	-4.841713E-7
-11.124500	-3.699679E-7
-11.117500	-2.050074E-7
-11.110500	-3.529713E-7
-11.103500	-4.417961E-7
-11.096500	-4.502945E-7
-11.089500	-3.741588E-7
-11.082500	-7.294584E-7
-11.075500	-4.249159E-7
-11.068500	-4.334142E-7
-11.061500	-6.702030E-7
-11.054500	-3.402820E-7
-11.047500	-3.487803E-7
-11.040500	-2.938323E-7
-11.033500	-4.249159E-7
-11.026500	-3.826572E-7
-11.019500	-2.091983E-7
-11.012500	-2.980232E-7
-11.005500	-5.940674E-7
-10.998500	-5.728798E-7
-10.991500	-3.445894E-7
-10.984500	-3.783498E-7
-10.977500	-4.207250E-7
-10.970500	-5.179318E-7
-10.963500	-5.179318E-7
-10.956500	-5.644979E-7
-10.949500	-3.699679E-7
-10.942500	-1.500593E-7
-10.935500	-4.883623E-7
-10.928500	-2.895249E-7
-10.921500	-4.587928E-7
-10.914500	-2.218876E-7
-10.907500	-5.644979E-7
-10.900500	-4.756730E-7
-10.893500	-4.207250E-7
-10.886500	-4.249159E-7
-10.879500	-5.982583E-7
-10.872500	-2.684537E-7
-10.865500	-5.559996E-7
-10.858500	-4.461035E-7
-10.851500	-4.502945E-7
-10.844500	-5.348120E-7
-10.837500	-5.898764E-7
-10.830500	-1.330627E-7
-10.823500	-4.461035E-7
-10.816500	-4.207250E-7
-10.809500	-4.207250E-7
-10.802500	-3.402820E-7
-10.795500	-1.796288E-7
-10.788500	-3.699679E-7
-10.781500	-4.841713E-7
-10.774500	-4.164176E-7
-10.767500	-4.461035E-7
-10.760500	-3.868481E-7
-10.753500	-4.587928E-7
-10.746500	-5.433103E-7
-10.739500	-4.037283E-7
-10.732500	-3.234018E-7
-10.725500	-1.711305E-7
-10.718500	-3.614696E-7
-10.711500	-5.137408E-7
-10.704500	-3.910391E-7
-10.697500	-1.627486E-7
-10.690500	-4.376052E-7
-10.683500	-4.291069E-7
-10.676500	-3.572786E-7
-10.669500	-4.714821E-7
-10.662500	-3.487803E-7
-10.655500	-4.841713E-7
-10.648500	-3.487803E-7
-10.641500	-1.669396E-7
-10.634500	-5.559996E-7
-10.627500	-2.980232E-7
-10.620500	-3.275927E-7
-10.613500	-3.319001E-7
-10.606500	-4.122267E-7
-10.599000	-3.234018E-7
-10.592000	-3.234018E-7
-10.585000	-1.373701E-7
-10.578000	-4.502945E-7
-10.571000	-5.940674E-7
-10.564000	-5.518086E-7
-10.557000	-3.868481E-7
-10.550000	-2.472661E-7
-10.543000	-4.207250E-7
-10.536000	-3.614696E-7
-10.529000	-3.445894E-7
-10.522000	-3.614696E-7
-10.515000	-3.783498E-7
-10.508000	-3.234018E-7
-10.501000	-4.207250E-7
-10.494000	-4.122267E-7
-10.487000	-4.249159E-7
-10.480000	-4.502945E-7
-10.473000	-3.319001E-7
-10.466000	-3.614696E-7
-10.459000	-4.714821E-7
-10.452000	-4.756730E-7
-10.445000	-5.601905E-7
