% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-3.402820E-7
-11.993000	-3.064051E-7
-11.986000	-4.882459E-7
-11.979000	-5.136244E-7
-11.972000	-4.967442E-7
-11.965000	-3.107125E-7
-11.958000	-1.499429E-7
-11.951000	-3.741588E-7
-11.944000	-3.698515E-7
-11.937000	-4.079193E-7
-11.930000	-4.037283E-7
-11.923000	-4.544854E-7
-11.916000	-4.206086E-7
-11.909000	-3.952300E-7
-11.902000	-6.278278E-7
-11.895000	-3.064051E-7
-11.888000	-3.022142E-7
-11.881000	-2.599554E-7
-11.874000	-1.288718E-7
-11.867000	-4.840549E-7
-11.860000	-1.034932E-7
-11.853000	-3.571622E-7
-11.846000	-2.091983E-7
-11.839000	-1.668232E-7
-11.832000	-4.037283E-7
-11.825000	-3.656605E-7
-11.818000	-4.459871E-7
-11.811000	-3.614696E-7
-11.804000	-3.910391E-7
-11.797000	-3.317837E-7
-11.790000	-2.641464E-7
-11.783000	-1.034932E-7
-11.776000	-3.529713E-7
-11.769000	-2.810266E-7
-11.762000	-2.726447E-7
-11.755000	-4.628673E-7
-11.748000	-6.363261E-7
-11.741000	-4.967442E-7
-11.734000	-5.433103E-7
-11.727000	-4.122267E-7
-11.720000	-3.571622E-7
-11.713000	-4.122267E-7
-11.706000	-1.584413E-7
-11.699000	-4.840549E-7
-11.692000	-4.544854E-7
-11.685000	-1.118751E-7
-11.678000	-2.514571E-7
-11.671000	-2.683373E-7
-11.664000	-4.291069E-7
-11.657000	-3.234018E-7
-11.650000	-1.372537E-7
-11.643000	-2.641464E-7
-11.636000	-3.107125E-7
-11.629000	-3.444729E-7
-11.622000	-4.247995E-7
-11.615000	-1.795124E-7
-11.608000	-5.221227E-7
-11.601000	-4.755566E-7
-11.594000	-1.415610E-7
-11.587000	-4.755566E-7
-11.580000	-4.544854E-7
-11.573000	-3.022142E-7
-11.566000	-2.641464E-7
-11.559000	-3.064051E-7
-11.552000	-3.022142E-7
-11.545000	-2.980232E-7
-11.538000	-2.937159E-7
-11.531000	-4.291069E-7
-11.523500	-3.825407E-7
-11.516500	-3.614696E-7
-11.509500	-5.348120E-7
-11.502500	-3.783498E-7
-11.495500	-1.668232E-7
-11.488500	-3.022142E-7
-11.481500	-2.895249E-7
-11.474500	-4.079193E-7
-11.467500	-3.317837E-7
-11.460500	-4.374888E-7
-11.453500	-4.628673E-7
-11.446500	-6.111804E-8
-11.439500	-2.768356E-7
-11.432500	-3.571622E-7
-11.425500	-5.221227E-7
-11.418500	-3.741588E-7
-11.411500	-3.234018E-7
-11.404500	-4.374888E-7
-11.397500	-5.306210E-7
-11.390500	-3.487803E-7
-11.383500	-3.825407E-7
-11.376500	-5.094334E-7
-11.369500	-2.556480E-7
-11.362500	-4.332978E-7
-11.355500	-4.291069E-7
-11.348500	-3.234018E-7
-11.341500	-3.022142E-7
-11.334500	-3.149034E-7
-11.327500	-1.668232E-7
-11.320500	-1.372537E-7
-11.313500	-3.656605E-7
-11.306500	-4.079193E-7
-11.299500	-1.965091E-7
-11.292500	-3.190944E-7
-11.285500	-3.571622E-7
-11.278500	-5.094334E-7
-11.271500	-3.487803E-7
-11.264500	-3.022142E-7
-11.257500	-5.940674E-7
-11.250500	-2.937159E-7
-11.243500	-9.499490E-8
-11.236500	-3.656605E-7
-11.229500	-2.683373E-7
-11.222500	-3.190944E-7
-11.215500	-2.810266E-7
-11.208500	-3.064051E-7
-11.201500	-3.234018E-7
-11.194500	-5.052425E-7
-11.187500	-1.711305E-7
-11.180500	-1.838198E-7
-11.173500	-4.501780E-7
-11.166500	-5.940674E-7
-11.159500	-2.599554E-7
-11.152500	-2.387678E-7
-11.145500	-2.514571E-7
-11.138500	-4.586764E-7
-11.131500	-3.614696E-7
-11.124500	-6.702030E-7
-11.117500	-3.022142E-7
-11.110500	-5.052425E-7
-11.103500	-5.601905E-7
-11.096500	-3.022142E-7
-11.089500	-1.922017E-7
-11.082500	-3.190944E-7
-11.075500	-2.007000E-7
-11.068500	-3.698515E-7
-11.061500	-3.656605E-7
-11.054500	-1.076842E-7
-11.047500	-3.614696E-7
-11.040500	-2.895249E-7
-11.033500	-3.317837E-7
-11.026500	-3.107125E-7
-11.019500	-4.037283E-7
-11.012500	-3.571622E-7
-11.005500	-2.853340E-7
-10.998500	-5.094334E-7
-10.991500	-5.306210E-7
-10.984500	-4.079193E-7
-10.977500	-3.317837E-7
-10.970500	-4.628673E-7
-10.963500	-3.783498E-7
-10.956500	-3.149034E-7
-10.949500	-2.641464E-7
-10.942500	-2.768356E-7
-10.935500	-3.190944E-7
-10.928500	-4.417961E-7
-10.921500	-2.853340E-7
-10.914500	-4.544854E-7
-10.907500	-1.161825E-7
-10.900500	-3.234018E-7
-10.893500	-2.726447E-7
-10.886500	-3.952300E-7
-10.879500	-5.052425E-7
-10.872500	-3.910391E-7
-10.865500	-3.698515E-7
-10.858500	-3.995374E-7
-10.851500	-4.079193E-7
-10.844500	-4.501780E-7
-10.837500	-2.641464E-7
-10.830500	-3.402820E-7
-10.823500	-3.064051E-7
-10.816500	-3.064051E-7
-10.809500	-3.614696E-7
