% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-3.910391E-7
-11.993000	-2.810266E-7
-11.986000	-3.275927E-7
-11.979000	-4.037283E-7
-11.972000	-5.263137E-7
-11.965000	-4.249159E-7
-11.958000	-4.291069E-7
-11.951000	-5.728798E-7
-11.944000	-3.656605E-7
-11.937000	-5.137408E-7
-11.930000	-3.698515E-7
-11.923000	-1.626322E-7
-11.916000	-4.079193E-7
-11.909000	-5.855691E-7
-11.902000	-3.952300E-7
-11.895000	-1.161825E-7
-11.888000	-3.910391E-7
-11.881000	-3.234018E-7
-11.874000	-3.360910E-7
-11.867000	-4.713656E-7
-11.860000	-3.952300E-7
-11.853000	-3.995374E-7
-11.846000	-3.698515E-7
-11.839000	-6.997725E-7
-11.832000	-4.798640E-7
-11.825000	-1.965091E-7
-11.818000	-3.529713E-7
-11.811000	-4.713656E-7
-11.804000	-3.783498E-7
-11.797000	-5.475013E-7
-11.790000	-3.571622E-7
-11.783000	-2.599554E-7
-11.776000	-3.487803E-7
-11.769000	-1.711305E-7
-11.762000	-2.810266E-7
-11.755000	-3.571622E-7
-11.748000	-4.206086E-7
-11.741000	-3.571622E-7
-11.734000	-3.741588E-7
-11.727000	-3.487803E-7
-11.720000	-5.433103E-7
-11.713000	-5.643815E-7
-11.706000	-4.417961E-7
-11.699000	-3.656605E-7
-11.692000	-3.149034E-7
-11.685000	-3.402820E-7
-11.678000	-2.853340E-7
-11.671000	-3.317837E-7
-11.664000	-2.810266E-7
-11.657000	-3.275927E-7
-11.650000	-4.376052E-7
-11.643000	-2.007000E-7
-11.636000	-3.360910E-7
-11.629000	-3.487803E-7
-11.622000	-5.348120E-7
-11.615000	-1.838198E-7
-11.608000	-4.164176E-7
-11.601000	-4.544854E-7
-11.594000	-3.783498E-7
-11.587000	-3.022142E-7
-11.580000	-5.348120E-7
-11.573000	-3.317837E-7
-11.566000	-1.584413E-7
-11.559000	-1.288718E-7
-11.552000	-2.895249E-7
-11.545000	-3.529713E-7
-11.538000	-4.883623E-7
-11.531000	-3.741588E-7
-11.523500	-6.575137E-7
-11.516500	-3.571622E-7
-11.509500	-5.179318E-7
-11.502500	-2.260786E-7
-11.495500	-4.079193E-7
-11.488500	-4.164176E-7
-11.481500	-3.529713E-7
-11.474500	-3.698515E-7
-11.467500	-5.475013E-7
-11.460500	-4.840549E-7
-11.453500	-3.741588E-7
-11.446500	-4.798640E-7
-11.439500	-3.741588E-7
-11.432500	-3.698515E-7
-11.425500	-4.079193E-7
-11.418500	-3.783498E-7
-11.411500	-6.024493E-7
-11.404500	-7.505296E-7
-11.397500	-4.206086E-7
-11.390500	-3.868481E-7
-11.383500	-5.306210E-7
