% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-4.544854E-7
-11.993000	-2.726447E-7
-11.986000	-5.094334E-7
-11.979000	-1.245644E-7
-11.972000	-3.741588E-7
-11.965000	-4.206086E-7
-11.958000	-2.853340E-7
-11.951000	-3.107125E-7
-11.944000	-3.571622E-7
-11.937000	-4.332978E-7
-11.930000	-3.656605E-7
-11.923000	-5.263137E-7
-11.916000	-4.206086E-7
-11.909000	-4.332978E-7
-11.902000	-1.669396E-7
-11.895000	-1.669396E-7
-11.888000	-3.444729E-7
-11.881000	-1.415610E-7
-11.874000	-2.853340E-7
-11.867000	-2.472661E-7
-11.860000	-3.234018E-7
-11.853000	-3.614696E-7
-11.846000	-2.810266E-7
-11.839000	-2.937159E-7
-11.832000	-3.022142E-7
-11.825000	-4.967442E-7
-11.818000	-2.937159E-7
-11.811000	-3.741588E-7
-11.804000	-3.614696E-7
-11.797000	-5.306210E-7
-11.790000	-4.206086E-7
-11.783000	-3.360910E-7
-11.776000	-1.330627E-7
-11.769000	-3.275927E-7
-11.762000	-2.810266E-7
-11.755000	-2.683373E-7
-11.748000	-4.164176E-7
-11.741000	-2.726447E-7
-11.734000	-3.360910E-7
-11.727000	-3.234018E-7
-11.720000	-3.107125E-7
-11.713000	-3.952300E-7
-11.706000	-4.417961E-7
-11.699000	-3.275927E-7
-11.692000	-3.825407E-7
-11.685000	-2.895249E-7
-11.678000	-1.499429E-7
-11.671000	-2.726447E-7
-11.664000	-3.487803E-7
-11.657000	-3.529713E-7
-11.650000	-3.234018E-7
-11.643000	-3.275927E-7
-11.636000	-3.107125E-7
-11.629000	-3.614696E-7
-11.622000	-1.161825E-7
-11.615000	-3.529713E-7
-11.608000	-3.022142E-7
-11.601000	-3.149034E-7
-11.594000	-3.275927E-7
-11.587000	-4.291069E-7
-11.580000	-2.937159E-7
-11.573000	-3.698515E-7
-11.566000	-1.372537E-7
-11.559000	-3.022142E-7
-11.552000	-2.514571E-7
-11.545000	-2.260786E-7
-11.538000	-3.614696E-7
-11.531000	-4.376052E-7
-11.523500	-3.234018E-7
-11.516500	-4.629837E-7
-11.509500	-4.671747E-7
-11.502500	-4.037283E-7
