% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-5.433103E-7
-11.993000	-5.348120E-7
-11.986000	-3.402820E-7
-11.979000	-4.332978E-7
-11.972000	-5.052425E-7
-11.965000	-4.925532E-7
-11.958000	-3.487803E-7
-11.951000	-5.475013E-7
-11.944000	-4.967442E-7
-11.937000	-3.402820E-7
-11.930000	-4.376052E-7
-11.923000	-2.303859E-7
-11.916000	-5.855691E-7
-11.909000	-3.572786E-7
-11.902000	-3.868481E-7
-11.895000	-3.445894E-7
-11.888000	-5.094334E-7
-11.881000	-3.360910E-7
-11.874000	-3.149034E-7
-11.867000	-3.107125E-7
-11.860000	-3.910391E-7
-11.853000	-3.614696E-7
-11.846000	-1.711305E-7
-11.839000	-6.067567E-7
-11.832000	-4.840549E-7
-11.825000	-3.699679E-7
-11.818000	-4.629837E-7
-11.811000	-3.910391E-7
-11.804000	-5.094334E-7
-11.797000	-5.771872E-7
-11.790000	-3.487803E-7
-11.783000	-3.572786E-7
-11.776000	-3.699679E-7
-11.769000	-3.402820E-7
-11.762000	-3.107125E-7
-11.755000	-3.234018E-7
-11.748000	-1.626322E-7
-11.741000	-3.614696E-7
-11.734000	-4.080357E-7
-11.727000	-6.617047E-7
-11.720000	-6.067567E-7
-11.713000	-2.091983E-7
-11.706000	-3.953464E-7
-11.699000	-4.332978E-7
-11.692000	-5.813781E-7
-11.685000	-3.826572E-7
-11.678000	-3.614696E-7
-11.671000	-3.783498E-7
-11.664000	-2.430752E-7
-11.657000	-3.065215E-7
-11.650000	-4.586764E-7
-11.643000	-4.332978E-7
-11.636000	-1.880107E-7
-11.629000	-3.402820E-7
-11.622000	-6.067567E-7
-11.615000	-5.518086E-7
-11.608000	-4.249159E-7
-11.601000	-4.967442E-7
-11.594000	-4.502945E-7
-11.587000	-3.783498E-7
-11.580000	-1.923181E-7
-11.573000	-5.475013E-7
-11.566000	-4.798640E-7
-11.559000	-3.065215E-7
-11.552000	-3.741588E-7
-11.545000	-3.445894E-7
-11.538000	-3.741588E-7
-11.531000	-5.855691E-7
-11.523500	-6.194459E-7
-11.516500	-4.122267E-7
-11.509500	-2.557645E-7
-11.502500	-4.713656E-7
-11.495500	-3.741588E-7
-11.488500	-4.122267E-7
-11.481500	-3.572786E-7
-11.474500	-4.332978E-7
-11.467500	-4.291069E-7
-11.460500	-5.433103E-7
-11.453500	-3.953464E-7
-11.446500	-3.910391E-7
-11.439500	-3.360910E-7
-11.432500	-1.584413E-7
-11.425500	-2.938323E-7
-11.418500	-3.445894E-7
-11.411500	-5.475013E-7
-11.404500	-4.332978E-7
-11.397500	-4.629837E-7
-11.390500	-4.164176E-7
-11.383500	-4.417961E-7
-11.376500	-3.995374E-7
-11.369500	-4.376052E-7
-11.362500	-5.137408E-7
-11.355500	-5.391194E-7
-11.348500	-3.656605E-7
-11.341500	-3.065215E-7
-11.334500	-3.149034E-7
-11.327500	-1.372537E-7
-11.320500	-5.094334E-7
-11.313500	-3.529713E-7
-11.306500	-3.445894E-7
-11.299500	-3.614696E-7
-11.292500	-3.360910E-7
-11.285500	-4.798640E-7
-11.278500	-4.713656E-7
-11.271500	-3.614696E-7
-11.264500	-4.544854E-7
-11.257500	-3.445894E-7
-11.250500	-3.022142E-7
-11.243500	-4.037283E-7
-11.236500	-5.475013E-7
-11.229500	-1.415610E-7
-11.222500	-2.726447E-7
-11.215500	-3.445894E-7
-11.208500	-4.206086E-7
-11.201500	-3.275927E-7
-11.194500	-4.206086E-7
-11.187500	-3.783498E-7
-11.180500	-4.417961E-7
-11.173500	-2.176967E-7
-11.166500	-3.699679E-7
-11.159500	-4.671747E-7
-11.152500	-1.880107E-7
-11.145500	-2.938323E-7
-11.138500	-3.065215E-7
-11.131500	-5.010515E-7
-11.124500	-3.234018E-7
-11.117500	-1.542503E-7
-11.110500	-3.275927E-7
-11.103500	-3.953464E-7
-11.096500	-4.417961E-7
-11.089500	-5.813781E-7
-11.082500	-4.332978E-7
-11.075500	-4.417961E-7
-11.068500	-4.586764E-7
-11.061500	-4.206086E-7
-11.054500	-3.572786E-7
-11.047500	-3.953464E-7
-11.040500	-1.499429E-7
-11.033500	-3.910391E-7
-11.026500	-3.614696E-7
-11.019500	-3.995374E-7
-11.012500	-1.923181E-7
-11.005500	-4.122267E-7
-10.998500	-2.050074E-7
-10.991500	-3.487803E-7
-10.984500	-4.376052E-7
-10.977500	-4.122267E-7
-10.970500	-3.360910E-7
-10.963500	-4.080357E-7
-10.956500	-4.671747E-7
-10.949500	-3.910391E-7
-10.942500	-3.995374E-7
-10.935500	-7.251510E-7
-10.928500	-3.572786E-7
-10.921500	-2.980232E-7
-10.914500	-1.415610E-7
-10.907500	-5.221227E-7
-10.900500	-4.671747E-7
-10.893500	-5.179318E-7
-10.886500	-3.275927E-7
-10.879500	-3.826572E-7
-10.872500	-4.164176E-7
-10.865500	-4.756730E-7
-10.858500	-4.756730E-7
-10.851500	-4.417961E-7
-10.844500	-4.249159E-7
-10.837500	-4.164176E-7
-10.830500	-2.980232E-7
-10.823500	-2.980232E-7
-10.816500	-3.529713E-7
-10.809500	-4.756730E-7
-10.802500	-3.022142E-7
-10.795500	-3.529713E-7
-10.788500	-2.768356E-7
-10.781500	-3.910391E-7
-10.774500	-2.218876E-7
-10.767500	-4.713656E-7
-10.760500	-3.783498E-7
-10.753500	-5.982583E-7
-10.746500	-2.091983E-7
-10.739500	-5.898764E-7
-10.732500	-4.249159E-7
-10.725500	-3.445894E-7
-10.718500	-5.644979E-7
-10.711500	-3.910391E-7
-10.704500	-4.459871E-7
-10.697500	-4.080357E-7
-10.690500	-4.332978E-7
-10.683500	-4.249159E-7
-10.676500	-3.487803E-7
-10.669500	-1.838198E-7
-10.662500	-3.529713E-7
-10.655500	-5.601905E-7
-10.648500	-6.406335E-7
-10.641500	-4.883623E-7
-10.634500	-2.557645E-7
-10.627500	-4.544854E-7
-10.620500	-4.671747E-7
-10.613500	-1.542503E-7
-10.606500	-3.699679E-7
-10.599000	-3.529713E-7
-10.592000	-3.783498E-7
-10.585000	-3.741588E-7
-10.578000	-4.080357E-7
-10.571000	-2.091983E-7
-10.564000	-3.826572E-7
-10.557000	-1.880107E-7
-10.550000	-3.910391E-7
-10.543000	-3.656605E-7
-10.536000	-3.910391E-7
-10.529000	-3.572786E-7
-10.522000	-4.629837E-7
-10.515000	-4.291069E-7
-10.508000	-3.234018E-7
-10.501000	-4.883623E-7
-10.494000	-3.360910E-7
-10.487000	-4.122267E-7
-10.480000	-1.415610E-7
-10.473000	-3.234018E-7
-10.466000	-5.475013E-7
-10.459000	-3.572786E-7
-10.452000	-3.487803E-7
-10.445000	-5.475013E-7
-10.438000	-4.840549E-7
-10.431000	-5.391194E-7
-10.424000	-4.756730E-7
-10.417000	-4.037283E-7
-10.410000	-3.826572E-7
-10.403000	-4.037283E-7
-10.396000	-4.544854E-7
-10.389000	-2.980232E-7
-10.382000	-4.080357E-7
-10.375000	-4.037283E-7
-10.368000	-3.529713E-7
-10.361000	-5.898764E-7
-10.354000	-3.065215E-7
-10.347000	-5.264301E-7
-10.340000	-3.445894E-7
-10.333000	-2.133893E-7
-10.326000	-5.940674E-7
-10.319000	-4.756730E-7
-10.312000	-4.080357E-7
-10.305000	-4.249159E-7
-10.298000	-4.883623E-7
-10.291000	-5.348120E-7
-10.284000	-3.953464E-7
-10.277000	-3.826572E-7
-10.270000	-5.221227E-7
-10.263000	-1.838198E-7
-10.256000	-3.149034E-7
-10.249000	-3.275927E-7
-10.242000	-4.376052E-7
-10.235000	-2.260786E-7
-10.228000	-3.065215E-7
-10.221000	-5.813781E-7
-10.214000	-3.868481E-7
-10.207000	-1.880107E-7
-10.200000	-4.206086E-7
-10.193000	-4.376052E-7
-10.186000	-4.122267E-7
-10.179000	-2.853340E-7
-10.172000	-4.249159E-7
-10.165000	-3.402820E-7
-10.158000	-3.319001E-7
-10.151000	-3.826572E-7
-10.144000	-2.895249E-7
-10.137000	-3.953464E-7
-10.130000	-1.923181E-7
-10.123000	-3.741588E-7
-10.116000	-5.813781E-7
-10.109000	-5.094334E-7
-10.102000	-3.614696E-7
-10.095000	-3.868481E-7
-10.088000	-5.264301E-7
-10.081000	-4.080357E-7
-10.074000	-1.288718E-7
-10.067000	-4.164176E-7
-10.060000	-5.052425E-7
-10.053000	-3.319001E-7
-10.046000	-4.037283E-7
-10.039000	-5.137408E-7
-10.032000	-4.629837E-7
-10.025000	-4.417961E-7
-10.018000	-2.303859E-7
-10.011000	-3.360910E-7
-10.004000	-5.771872E-7
-9.997000	-1.965091E-7
-9.990000	-3.910391E-7
-9.983000	-4.249159E-7
-9.976000	-4.798640E-7
-9.969000	-5.094334E-7
-9.962000	-3.572786E-7
-9.955000	-4.502945E-7
-9.948000	-6.913906E-7
-9.941000	-1.415610E-7
-9.934000	-3.953464E-7
-9.927000	-4.122267E-7
-9.920000	-4.206086E-7
-9.913000	-5.433103E-7
-9.906000	-5.179318E-7
-9.899000	-4.376052E-7
-9.892000	-5.137408E-7
-9.885000	-1.838198E-7
-9.878000	-5.475013E-7
-9.871000	-4.629837E-7
-9.864000	-2.853340E-7
-9.857000	-3.699679E-7
-9.850000	-2.430752E-7
-9.843000	-3.022142E-7
-9.836000	-4.249159E-7
-9.829000	-6.406335E-7
-9.822000	-3.572786E-7
-9.815000	-5.728798E-7
-9.808000	-5.433103E-7
-9.801000	-3.529713E-7
-9.794000	-1.880107E-7
-9.787000	-3.783498E-7
-9.780000	-4.122267E-7
-9.773000	-5.264301E-7
-9.766000	-3.910391E-7
-9.759000	-3.149034E-7
-9.752000	-4.459871E-7
-9.745000	-3.192108E-7
-9.738000	-5.052425E-7
-9.731000	-2.938323E-7
-9.724000	-3.402820E-7
-9.717000	-3.192108E-7
-9.710000	-2.980232E-7
-9.703000	-3.953464E-7
-9.696000	-4.122267E-7
-9.689000	-4.967442E-7
-9.681500	-2.260786E-7
-9.674500	-4.249159E-7
-9.667500	-4.332978E-7
-9.660500	-1.542503E-7
-9.653500	-2.768356E-7
-9.646500	-3.910391E-7
-9.639500	-2.387678E-7
-9.632500	-3.572786E-7
-9.625500	-2.938323E-7
-9.618500	-5.728798E-7
-9.611500	-3.910391E-7
-9.604500	-4.206086E-7
-9.597500	-2.050074E-7
-9.590500	-3.065215E-7
-9.583500	-4.925532E-7
-9.576500	-3.910391E-7
-9.569500	-3.275927E-7
-9.562500	-2.768356E-7
-9.555500	-5.137408E-7
-9.548500	-3.402820E-7
-9.541500	-2.853340E-7
-9.534500	-4.967442E-7
-9.527500	-3.953464E-7
-9.520500	-5.221227E-7
-9.513500	-3.192108E-7
-9.506500	-3.445894E-7
-9.499500	-4.671747E-7
-9.492500	-4.925532E-7
-9.485500	-3.741588E-7
-9.478500	-5.264301E-7
-9.471500	-3.487803E-7
-9.464500	-5.728798E-7
-9.457500	-4.417961E-7
-9.450500	-5.264301E-7
-9.443500	-3.022142E-7
-9.436500	-5.010515E-7
-9.429500	-3.614696E-7
-9.422500	-3.741588E-7
-9.415500	-4.291069E-7
-9.408500	-5.137408E-7
-9.401500	-4.164176E-7
-9.394500	-5.898764E-7
-9.387500	-4.206086E-7
-9.380500	-5.348120E-7
-9.373500	-3.319001E-7
-9.366500	-4.122267E-7
-9.359500	-3.572786E-7
-9.352500	-5.264301E-7
-9.345500	-2.895249E-7
-9.338500	-2.853340E-7
-9.331500	-3.656605E-7
-9.324500	-5.010515E-7
-9.317500	-4.249159E-7
-9.310500	-2.980232E-7
-9.303500	-3.614696E-7
-9.296500	-4.206086E-7
-9.289500	-3.826572E-7
-9.282500	-3.487803E-7
-9.275500	-5.264301E-7
-9.268500	-6.828923E-7
-9.261500	-1.711305E-7
-9.254500	-3.319001E-7
-9.247500	-4.164176E-7
-9.240500	-3.614696E-7
-9.233500	-2.811430E-7
-9.226500	-2.980232E-7
-9.219500	-4.629837E-7
-9.212500	-2.895249E-7
-9.205500	-2.895249E-7
-9.198500	-4.671747E-7
-9.191500	-3.107125E-7
-9.184500	-4.122267E-7
-9.177500	-3.234018E-7
-9.170500	-4.037283E-7
-9.163500	-4.332978E-7
-9.156500	-3.529713E-7
-9.149500	-5.559996E-7
-9.142500	-3.275927E-7
-9.135500	-3.529713E-7
-9.128500	-3.529713E-7
-9.121500	-3.402820E-7
-9.114500	-3.868481E-7
-9.107500	-3.656605E-7
-9.100500	-2.345769E-7
-9.093500	-3.360910E-7
-9.086500	-3.234018E-7
-9.079500	-3.275927E-7
-9.072500	-4.291069E-7
-9.065500	-3.868481E-7
-9.058500	-3.741588E-7
-9.051500	-4.291069E-7
-9.044500	-5.982583E-7
-9.037500	-3.487803E-7
-9.030500	-3.699679E-7
-9.023500	-3.149034E-7
-9.016500	-3.741588E-7
-9.009500	-2.768356E-7
-9.002500	-2.768356E-7
-8.995500	-3.234018E-7
-8.988500	-3.319001E-7
-8.981500	-1.457520E-7
-8.974500	-3.741588E-7
-8.967500	-3.995374E-7
-8.960500	-3.360910E-7
-8.953500	-3.234018E-7
-8.946500	-2.007000E-7
-8.939500	-4.586764E-7
-8.932500	-4.798640E-7
-8.925500	-3.192108E-7
-8.918500	-2.895249E-7
-8.911500	-3.445894E-7
-8.904500	-1.076842E-7
-8.897500	-3.783498E-7
-8.890500	-3.275927E-7
-8.883500	-3.065215E-7
-8.876500	-3.192108E-7
-8.869500	-3.741588E-7
-8.862500	-5.348120E-7
-8.855500	-3.192108E-7
-8.848500	-3.234018E-7
-8.841500	-3.953464E-7
-8.834500	-3.699679E-7
-8.827500	-5.179318E-7
-8.820500	-3.107125E-7
-8.813500	-1.499429E-7
-8.806500	-2.980232E-7
-8.799500	-2.726447E-7
-8.792500	-3.487803E-7
-8.785500	-3.826572E-7
-8.778500	-2.768356E-7
-8.771500	-5.559996E-7
-8.764500	-2.938323E-7
-8.757000	-3.953464E-7
-8.750000	-3.319001E-7
-8.743000	-3.699679E-7
-8.736000	-6.913906E-7
-8.729000	-3.910391E-7
-8.722000	-4.332978E-7
-8.715000	-4.925532E-7
-8.708000	-3.360910E-7
-8.701000	-1.076842E-7
-8.694000	-3.826572E-7
-8.687000	-3.783498E-7
-8.680000	-3.868481E-7
-8.673000	-3.319001E-7
-8.666000	-3.487803E-7
-8.659000	-2.895249E-7
-8.652000	-3.783498E-7
-8.645000	-5.898764E-7
-8.638000	-4.544854E-7
-8.631000	-3.445894E-7
-8.624000	-1.753215E-7
-8.617000	-4.883623E-7
-8.610000	-2.895249E-7
-8.603000	-2.980232E-7
-8.596000	-3.995374E-7
-8.589000	-3.065215E-7
-8.582000	-4.756730E-7
-8.575000	-5.179318E-7
-8.568000	-1.161825E-7
-8.561000	-2.641464E-7
-8.554000	-5.601905E-7
-8.547000	-2.726447E-7
-8.540000	-3.275927E-7
-8.533000	-3.402820E-7
-8.526000	-4.925532E-7
-8.519000	-4.164176E-7
-8.512000	-1.584413E-7
-8.505000	-2.514571E-7
-8.498000	-2.684537E-7
-8.491000	-3.783498E-7
-8.484000	-2.811430E-7
-8.477000	-3.022142E-7
-8.470000	-2.260786E-7
-8.463000	-4.291069E-7
-8.456000	-6.152550E-7
-8.449000	-3.699679E-7
-8.442000	-3.192108E-7
-8.435000	-1.457520E-7
-8.428000	-2.938323E-7
-8.421000	-2.768356E-7
-8.414000	-3.614696E-7
-8.407000	-4.037283E-7
-8.400000	-3.107125E-7
-8.393000	-4.122267E-7
-8.386000	-2.430752E-7
-8.379000	-3.487803E-7
-8.372000	-3.783498E-7
-8.365000	-3.319001E-7
-8.358000	-2.938323E-7
-8.351000	-4.206086E-7
-8.344000	-2.980232E-7
-8.337000	-4.332978E-7
-8.330000	-3.826572E-7
-8.323000	-4.417961E-7
-8.316000	-5.052425E-7
-8.309000	-3.275927E-7
-8.302000	-4.291069E-7
-8.295000	-4.164176E-7
-8.288000	-4.925532E-7
-8.281000	-3.783498E-7
-8.274000	-2.387678E-7
-8.267000	-3.910391E-7
-8.260000	-2.514571E-7
-8.253000	-8.230563E-8
-8.246000	-2.557645E-7
-8.239000	-3.953464E-7
-8.232000	-3.107125E-7
-8.225000	-5.221227E-7
-8.218000	-2.726447E-7
-8.211000	-3.402820E-7
-8.204000	-2.514571E-7
-8.197000	-5.137408E-7
-8.190000	-3.065215E-7
-8.183000	-3.699679E-7
-8.176000	-2.853340E-7
-8.169000	-2.938323E-7
-8.162000	-4.332978E-7
-8.155000	-3.234018E-7
-8.148000	-3.022142E-7
-8.141000	-8.661300E-8
-8.134000	-3.953464E-7
-8.127000	-2.853340E-7
-8.120000	-4.967442E-7
-8.113000	-5.221227E-7
-8.106000	-3.741588E-7
-8.099000	-3.572786E-7
-8.092000	-3.065215E-7
-8.085000	-3.699679E-7
-8.078000	-3.783498E-7
-8.071000	-1.457520E-7
-8.064000	-9.499490E-8
-8.057000	-4.629837E-7
-8.050000	-3.234018E-7
